time,device_id,x_pos,y_pos,velocity
2015-06-03T12:45:18.075280,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,278.5,233.0,0.0
2015-06-03T12:45:18.383006,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,276.0,223.5,9.823441505432129
2015-06-03T12:45:18.385574,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,310.5,359.0,0.0
2015-06-03T12:45:18.691738,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,319.0,349.0,13.124404907226562
2015-06-03T12:45:18.697841,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,319.0,348.5,0.5
2015-06-03T12:45:18.700182,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,319.0,347.5,1.0
2015-06-03T12:45:18.702235,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,319.0,347.0,0.5
2015-06-03T12:45:18.703567,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,319.0,346.5,0.5
2015-06-03T12:45:18.712262,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,319.0,346.0,0.5
2015-06-03T12:45:18.720646,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,318.5,344.5,1.5811388492584229
2015-06-03T12:45:18.736718,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,318.0,342.5,2.0615527629852295
2015-06-03T12:45:18.748466,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,316.5,341.0,2.1213202476501465
2015-06-03T12:45:18.765920,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,315.5,340.0,1.4142135381698608
2015-06-03T12:45:18.781803,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,314.5,339.5,1.1180340051651
2015-06-03T12:45:18.796935,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,313.0,339.5,1.5
2015-06-03T12:45:18.813956,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,312.0,339.5,1.0
2015-06-03T12:45:18.830588,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,311.0,339.5,1.0
2015-06-03T12:45:18.848686,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,310.5,339.5,0.5
2015-06-03T12:45:18.866095,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,310.0,339.5,0.5
2015-06-03T12:45:18.879886,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,309.5,339.5,0.5
2015-06-03T12:45:18.898384,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,309.0,339.0,0.7071067690849304
2015-06-03T12:45:18.949953,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,272.5,177.5,0.0
2015-06-03T12:45:19.306573,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,276.0,184.5,7.82623815536499
2015-06-03T12:45:19.308591,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,276.5,184.5,0.5
