time,charles,christina,jonathan
2014-08-23 17:39:30,0,0,0
2014-08-23 17:39:31,2,2,2
2014-08-23 17:39:32,5,2,2
2014-08-23 17:39:33,5,2,2
2014-08-23 17:39:34,5,2,2
2014-08-23 17:39:35,5,2,2
2014-08-23 17:39:36,5,2,2
2014-08-23 17:39:37,2,2,2
2014-08-23 17:39:38,2,2,2
2014-08-23 17:39:39,2,3,3
2014-08-23 17:39:40,2,4,8
2014-08-23 17:39:41,2,4,4
2014-08-23 17:39:42,8,4,4
2014-08-23 17:39:43,8,4,4
2014-08-23 17:39:44,8,4,4
2014-08-23 17:39:45,8,4,4
2014-08-23 17:39:46,8,4,4
2014-08-23 17:39:47,5,4,4
2014-08-23 17:39:48,2,4,4
2014-08-23 17:39:49,0,4,4
2014-08-23 17:39:50,0,0,2
2014-08-23 17:39:51,0,0,0
2014-08-23 17:39:52,0,0,0
2014-08-23 17:39:53,0,0,0
2014-08-23 17:39:54,0,0,0
2014-08-23 17:39:55,0,0,0
2014-08-23 17:39:56,0,0,0
2014-08-23 17:39:57,0,0,0
2014-08-23 17:39:58,2,2,0
2014-08-23 17:39:59,2,2,2
2014-08-23 17:40:00,2,2,2
2014-08-23 17:40:01,2,2,2
2014-08-23 17:40:02,2,5,2
2014-08-23 17:40:03,2,2,2
2014-08-23 17:40:04,2,2,2
2014-08-23 17:40:05,2,2,2
2014-08-23 17:40:06,2,2,2
2014-08-23 17:40:07,2,2,2
2014-08-23 17:40:08,2,2,2
2014-08-23 17:40:09,8,3,3
2014-08-23 17:40:10,8,4,4
2014-08-23 17:40:11,8,4,4
2014-08-23 17:40:12,8,4,8
2014-08-23 17:40:13,8,4,8
2014-08-23 17:40:14,8,4,8
2014-08-23 17:40:15,8,4,8
2014-08-23 17:40:16,8,4,8
2014-08-23 17:40:17,8,4,8
2014-08-23 17:40:18,8,4,8
2014-08-23 17:40:19,8,4,8
2014-08-23 17:40:20,8,4,8
2014-08-23 17:40:21,8,4,8
2014-08-23 17:40:22,8,8,3
2014-08-23 17:40:23,2,2,2
2014-08-23 17:40:24,2,2,2
2014-08-23 17:40:25,2,2,2
2014-08-23 17:40:26,2,2,2
2014-08-23 17:40:27,2,2,2
2014-08-23 17:40:28,2,2,2
2014-08-23 17:40:29,2,8,2
2014-08-23 17:40:30,2,8,3
2014-08-23 17:40:31,2,8,3
2014-08-23 17:40:32,2,8,3
2014-08-23 17:40:33,8,4,3
2014-08-23 17:40:34,8,4,3
2014-08-23 17:40:35,8,4,3
2014-08-23 17:40:36,8,4,4
2014-08-23 17:40:37,8,4,4
2014-08-23 17:40:38,8,4,4
2014-08-23 17:40:39,8,8,4
2014-08-23 17:40:40,8,8,4
2014-08-23 17:40:41,8,8,8
2014-08-23 17:40:42,8,8,4
2014-08-23 17:40:43,8,8,8
2014-08-23 17:40:44,8,8,8
2014-08-23 17:40:45,8,8,2
2014-08-23 17:40:46,8,8,2
2014-08-23 17:40:47,8,8,2
2014-08-23 17:40:48,2,2,2
2014-08-23 17:40:49,2,2,2
2014-08-23 17:40:50,2,2,2
2014-08-23 17:40:51,2,2,2
2014-08-23 17:40:52,2,2,2
2014-08-23 17:40:53,2,2,2
2014-08-23 17:40:54,2,2,2
2014-08-23 17:40:55,2,2,2
2014-08-23 17:40:56,2,2,2
2014-08-23 17:40:57,2,2,2
2014-08-23 17:40:58,2,2,2
