time,BD49B35A-8999-4987-9759-8D3F28D1292B,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,275913F5-90E9-4C82-B94C-29A8AA3B4C57,2FA454D2-F35D-45D6-BE5D-D848B409B713,7FC04E34-F3AE-4764-9432-DD032ED6C36B
2015-03-20 14:05:03,7,2,7,7,8
2015-03-20 14:05:04,7,2,8,7,7
2015-03-20 14:05:05,7,2,7,7,7
2015-03-20 14:05:06,7,2,7,7,5
2015-03-20 14:05:07,8,2,7,7,5
2015-03-20 14:05:08,8,2,7,7,5
2015-03-20 14:05:09,3,2,7,7,5
2015-03-20 14:05:10,3,2,8,7,5
2015-03-20 14:05:11,3,2,8,7,5
2015-03-20 14:05:12,3,2,8,8,5
2015-03-20 14:05:13,3,2,8,4,5
2015-03-20 14:05:14,3,2,8,2,8
2015-03-20 14:05:15,3,2,8,2,7
2015-03-20 14:05:16,3,2,8,2,7
2015-03-20 14:05:17,3,2,8,2,7
2015-03-20 14:05:18,3,2,8,2,7
2015-03-20 14:05:19,3,2,8,2,7
2015-03-20 14:05:20,3,2,8,2,7
2015-03-20 14:05:21,4,2,8,2,7
2015-03-20 14:05:22,4,2,7,2,7
2015-03-20 14:05:23,3,2,7,2,7
2015-03-20 14:05:24,3,2,7,2,7
2015-03-20 14:05:25,3,2,7,2,7
2015-03-20 14:05:26,3,2,8,2,7
2015-03-20 14:05:27,3,2,8,2,7
2015-03-20 14:05:28,3,2,8,2,7
2015-03-20 14:05:29,3,2,8,2,7
2015-03-20 14:05:30,3,2,8,2,7
2015-03-20 14:05:31,3,2,8,2,7
2015-03-20 14:05:32,3,2,7,2,7
2015-03-20 14:05:33,3,2,8,2,7
2015-03-20 14:05:34,3,2,8,2,7
2015-03-20 14:05:35,3,2,8,2,7
2015-03-20 14:05:36,1,2,8,2,8
2015-03-20 14:05:37,1,2,8,2,8
2015-03-20 14:05:38,2,2,8,2,8
2015-03-20 14:05:39,2,2,8,2,8
2015-03-20 14:05:40,2,2,8,0,8
2015-03-20 14:05:41,2,2,8,2,8
2015-03-20 14:05:42,2,2,8,2,5
2015-03-20 14:05:43,2,2,8,2,5
2015-03-20 14:05:44,2,2,8,2,5
2015-03-20 14:05:45,2,2,8,2,5
2015-03-20 14:05:46,2,2,8,2,5
2015-03-20 14:05:47,2,2,8,2,5
2015-03-20 14:05:48,2,2,8,2,7
2015-03-20 14:05:49,3,2,8,2,7
2015-03-20 14:05:50,3,2,8,2,7
2015-03-20 14:05:51,3,2,7,0,7
2015-03-20 14:05:52,3,2,8,0,8
2015-03-20 14:05:53,3,2,8,0,8
2015-03-20 14:05:54,8,2,7,0,8
2015-03-20 14:05:55,8,2,8,0,8
2015-03-20 14:05:56,8,2,8,0,8
2015-03-20 14:05:57,4,2,8,0,8
2015-03-20 14:05:58,4,2,8,0,8
2015-03-20 14:05:59,4,2,8,0,8
2015-03-20 14:06:00,4,2,8,0,8
2015-03-20 14:06:01,4,1,8,0,8
2015-03-20 14:06:02,4,1,8,0,8
2015-03-20 14:06:03,4,2,8,0,8
2015-03-20 14:06:04,4,1,8,0,8
2015-03-20 14:06:05,4,1,8,0,8
2015-03-20 14:06:06,1,2,8,0,8
2015-03-20 14:06:07,2,2,8,0,8
2015-03-20 14:06:08,2,2,8,0,8
2015-03-20 14:06:09,2,2,8,0,7
2015-03-20 14:06:10,1,2,8,2,7
2015-03-20 14:06:11,1,1,8,2,8
2015-03-20 14:06:12,1,1,8,2,8
2015-03-20 14:06:13,1,1,8,2,8
2015-03-20 14:06:14,1,1,8,2,8
2015-03-20 14:06:15,1,1,3,2,8
2015-03-20 14:06:16,1,1,3,2,8
2015-03-20 14:06:17,1,1,3,2,8
2015-03-20 14:06:18,1,1,3,2,8
2015-03-20 14:06:19,1,1,3,2,7
2015-03-20 14:06:20,2,1,3,2,3
2015-03-20 14:06:21,3,1,3,2,7
2015-03-20 14:06:22,2,1,3,2,4
2015-03-20 14:06:23,2,1,3,2,4
2015-03-20 14:06:24,2,1,3,2,4
2015-03-20 14:06:25,2,1,8,2,4
2015-03-20 14:06:26,2,1,8,2,8
2015-03-20 14:06:27,2,1,8,2,8
2015-03-20 14:06:28,2,1,8,2,3
2015-03-20 14:06:29,2,1,8,0,3
2015-03-20 14:06:30,2,1,8,0,3
2015-03-20 14:06:31,3,1,8,0,3
2015-03-20 14:06:32,3,1,8,2,3
2015-03-20 14:06:33,3,1,3,2,3
2015-03-20 14:06:34,3,1,3,2,3
2015-03-20 14:06:35,3,1,3,2,8
2015-03-20 14:06:36,3,1,3,2,8
2015-03-20 14:06:37,3,1,1,2,3
2015-03-20 14:06:38,3,1,2,2,3
2015-03-20 14:06:39,3,1,2,2,3
2015-03-20 14:06:40,3,1,2,2,3
2015-03-20 14:06:41,3,1,2,2,3
2015-03-20 14:06:42,3,1,2,2,3
