time,BD49B35A-8999-4987-9759-8D3F28D1292B,24C41EC3-7ECC-40DA-B942-7ABE23017E74,yvonne,9A5116EA-2793-4C75-AC93-524C9EF550FD
2015-04-24 16:17:01,1,1,1,4
2015-04-24 16:17:02,3,1,3,4
2015-04-24 16:17:03,7,1,5,2
2015-04-24 16:17:04,7,1,5,7
2015-04-24 16:17:05,7,1,5,7
2015-04-24 16:17:06,7,1,5,7
2015-04-24 16:17:07,7,1,2,7
2015-04-24 16:17:08,7,1,2,6
2015-04-24 16:17:09,7,1,2,7
2015-04-24 16:17:10,7,1,2,7
2015-04-24 16:17:11,7,1,2,7
2015-04-24 16:17:12,7,1,2,4
2015-04-24 16:17:13,7,1,2,4
2015-04-24 16:17:14,7,1,2,4
2015-04-24 16:17:15,7,1,1,4
2015-04-24 16:17:16,7,1,1,4
2015-04-24 16:17:17,7,1,1,4
2015-04-24 16:17:18,7,3,1,7
2015-04-24 16:17:19,7,3,1,7
2015-04-24 16:17:20,7,4,1,7
2015-04-24 16:17:21,7,7,1,7
2015-04-24 16:17:22,7,4,1,7
2015-04-24 16:17:23,7,4,1,4
2015-04-24 16:17:24,7,4,1,4
2015-04-24 16:17:25,7,4,1,4
2015-04-24 16:17:26,7,4,1,4
2015-04-24 16:17:27,7,4,1,4
2015-04-24 16:17:28,7,3,1,4
2015-04-24 16:17:29,7,3,1,4
2015-04-24 16:17:30,7,3,1,4
2015-04-24 16:17:31,7,3,1,4
2015-04-24 16:17:32,7,3,1,7
2015-04-24 16:17:33,7,3,1,7
2015-04-24 16:17:34,7,1,1,7
2015-04-24 16:17:35,7,1,1,7
2015-04-24 16:17:36,7,1,1,7
2015-04-24 16:17:37,7,1,1,7
2015-04-24 16:17:38,7,1,1,7
2015-04-24 16:17:39,7,1,1,8
2015-04-24 16:17:40,7,1,1,3
2015-04-24 16:17:41,7,1,1,3
2015-04-24 16:17:42,7,1,1,1
2015-04-24 16:17:43,7,1,1,1
2015-04-24 16:17:44,7,1,1,1
2015-04-24 16:17:45,7,1,1,1
2015-04-24 16:17:46,7,1,1,1
2015-04-24 16:17:47,7,1,1,3
2015-04-24 16:17:48,7,1,1,1
2015-04-24 16:17:49,7,1,1,2
2015-04-24 16:17:50,7,1,3,2
2015-04-24 16:17:51,7,1,3,2
2015-04-24 16:17:52,7,1,4,2
2015-04-24 16:17:53,7,1,7,1
2015-04-24 16:17:54,7,1,4,1
2015-04-24 16:17:55,3,1,4,1
2015-04-24 16:17:56,1,1,4,1
2015-04-24 16:17:57,1,1,4,1
2015-04-24 16:17:58,1,1,3,1
2015-04-24 16:17:59,1,3,4,1
2015-04-24 16:18:00,1,3,4,1
2015-04-24 16:18:01,1,3,4,1
2015-04-24 16:18:02,1,8,4,1
2015-04-24 16:18:03,1,8,3,1
2015-04-24 16:18:04,1,8,3,1
2015-04-24 16:18:05,1,8,3,1
2015-04-24 16:18:06,1,8,3,1
2015-04-24 16:18:07,1,3,3,1
2015-04-24 16:18:08,1,1,1,8
2015-04-24 16:18:09,1,1,1,8
2015-04-24 16:18:10,8,1,1,8
2015-04-24 16:18:11,8,1,1,8
2015-04-24 16:18:12,8,1,8,8
2015-04-24 16:18:13,8,1,8,8
2015-04-24 16:18:14,8,1,8,8
2015-04-24 16:18:15,8,1,8,8
2015-04-24 16:18:16,8,1,8,8
2015-04-24 16:18:17,8,1,8,8
2015-04-24 16:18:18,1,1,8,8
2015-04-24 16:18:19,8,1,8,8
2015-04-24 16:18:20,8,1,8,8
2015-04-24 16:18:21,8,1,1,8
2015-04-24 16:18:22,8,1,1,8
2015-04-24 16:18:23,8,1,1,8
2015-04-24 16:18:24,8,1,1,8
2015-04-24 16:18:25,8,1,1,8
