time,jonathan,charles,yvonne,christina
2014-04-28 18:56:35,0,0,0,0
2014-04-28 18:56:36,2,0,0,0
2014-04-28 18:56:37,4,6,4,3
2014-04-28 18:56:38,7,1,4,3
2014-04-28 18:56:39,7,1,4,3
2014-04-28 18:56:40,8,1,4,3
2014-04-28 18:56:41,8,1,4,3
2014-04-28 18:56:42,8,3,4,3
2014-04-28 18:56:43,8,3,4,4
2014-04-28 18:56:44,8,3,3,4
2014-04-28 18:56:45,3,3,3,4
2014-04-28 18:56:46,1,3,3,3
2014-04-28 18:56:47,1,3,3,3
2014-04-28 18:56:48,1,1,3,1
2014-04-28 18:56:49,1,1,4,1
2014-04-28 18:56:50,3,1,4,1
2014-04-28 18:56:51,0,3,4,1
2014-04-28 18:56:52,0,3,8,1
2014-04-28 18:56:53,2,3,8,1
2014-04-28 18:56:54,2,3,3,1
2014-04-28 18:56:55,1,3,3,3
2014-04-28 18:56:56,1,3,3,3
2014-04-28 18:56:57,1,4,3,3
2014-04-28 18:56:58,1,4,3,4
2014-04-28 18:56:59,1,4,4,4
2014-04-28 18:57:00,1,4,4,4
2014-04-28 18:57:01,1,4,5,4
2014-04-28 18:57:02,1,4,5,3
2014-04-28 18:57:03,1,4,0,3
2014-04-28 18:57:04,1,4,2,3
2014-04-28 18:57:05,1,3,4,3
2014-04-28 18:57:06,1,3,4,3
2014-04-28 18:57:07,1,3,4,1
2014-04-28 18:57:08,1,3,3,1
2014-04-28 18:57:09,1,3,3,1
2014-04-28 18:57:10,1,3,3,1
2014-04-28 18:57:11,1,2,8,1
2014-04-28 18:57:12,1,2,8,1
2014-04-28 18:57:13,1,2,8,1
2014-04-28 18:57:14,1,2,8,1
2014-04-28 18:57:15,1,2,4,1
2014-04-28 18:57:16,1,2,4,1
2014-04-28 18:57:17,1,2,2,1
2014-04-28 18:57:18,1,1,0,2
2014-04-28 18:57:19,1,1,2,1
2014-04-28 18:57:20,1,1,2,1
2014-04-28 18:57:21,1,1,2,1
2014-04-28 18:57:22,1,1,4,1
2014-04-28 18:57:23,1,1,4,1
2014-04-28 18:57:24,1,1,2,3
2014-04-28 18:57:25,1,1,2,1
2014-04-28 18:57:26,1,1,2,1
2014-04-28 18:57:27,3,1,2,1
2014-04-28 18:57:28,3,1,2,1
2014-04-28 18:57:29,7,3,7,1
2014-04-28 18:57:30,7,3,7,1
2014-04-28 18:57:31,8,3,7,1
2014-04-28 18:57:32,8,2,7,1
2014-04-28 18:57:33,7,2,7,2
2014-04-28 18:57:34,7,0,7,1
2014-04-28 18:57:35,7,4,7,3
2014-04-28 18:57:36,7,3,7,1
2014-04-28 18:57:37,7,3,8,1
2014-04-28 18:57:38,8,3,8,1
2014-04-28 18:57:39,7,3,2,3
2014-04-28 18:57:40,4,3,6,3
2014-04-28 18:57:41,4,0,0,4
2014-04-28 18:57:42,4,0,0,4
2014-04-28 18:57:43,4,0,0,4
2014-04-28 18:57:44,2,0,0,4
2014-04-28 18:57:45,0,0,0,3
2014-04-28 18:57:46,0,0,0,4
2014-04-28 18:57:47,0,0,0,4
2014-04-28 18:57:48,0,0,0,0
2014-04-28 18:57:49,0,0,0,0
2014-04-28 18:57:50,0,0,0,0
2014-04-28 18:57:51,0,0,0,0
2014-04-28 18:57:52,0,0,0,0
2014-04-28 18:57:53,0,0,0,0
2014-04-28 18:57:54,0,0,0,0
2014-04-28 18:57:55,0,0,0,0
2014-04-28 18:57:56,0,0,0,0
2014-04-28 18:57:57,0,0,0,0
2014-04-28 18:57:58,0,0,0,0
2014-04-28 18:57:59,0,0,0,0
2014-04-28 18:58:00,0,0,0,0
2014-04-28 18:58:01,0,0,0,0
2014-04-28 18:58:02,0,0,0,0
2014-04-28 18:58:03,0,0,0,0
2014-04-28 18:58:04,0,0,0,0
2014-04-28 18:58:05,0,0,0,0
2014-04-28 18:58:06,0,0,0,0
2014-04-28 18:58:07,0,0,0,0
2014-04-28 18:58:08,0,0,0,0
2014-04-28 18:58:09,0,0,0,0
2014-04-28 18:58:10,0,0,0,0
2014-04-28 18:58:11,0,0,0,0
2014-04-28 18:58:12,0,0,0,0
2014-04-28 18:58:13,0,0,0,0
2014-04-28 18:58:14,0,0,0,0
2014-04-28 18:58:15,0,0,0,0
2014-04-28 18:58:16,0,0,0,0
2014-04-28 18:58:17,0,0,0,0
2014-04-28 18:58:18,0,0,0,0
2014-04-28 18:58:19,0,0,0,0
2014-04-28 18:58:20,0,0,0,0
2014-04-28 18:58:21,0,0,0,0
2014-04-28 18:58:22,0,0,0,0
2014-04-28 18:58:23,0,0,0,0
2014-04-28 18:58:24,0,0,0,0
2014-04-28 18:58:25,0,0,0,0
2014-04-28 18:58:26,0,0,0,0
2014-04-28 18:58:27,0,0,0,0
2014-04-28 18:58:28,0,0,0,0
2014-04-28 18:58:29,0,0,0,0
2014-04-28 18:58:30,0,0,0,0
2014-04-28 18:58:31,0,0,0,0
2014-04-28 18:58:32,2,0,0,0
2014-04-28 18:58:33,2,0,0,0
2014-04-28 18:58:34,2,0,0,2
2014-04-28 18:58:35,4,0,0,3
2014-04-28 18:58:36,4,0,0,3
2014-04-28 18:58:37,7,0,0,3
2014-04-28 18:58:38,7,0,0,3
2014-04-28 18:58:39,7,0,0,3
2014-04-28 18:58:40,4,0,0,2
2014-04-28 18:58:41,4,0,0,0
2014-04-28 18:58:42,0,0,0,0
2014-04-28 18:58:43,0,0,0,2
2014-04-28 18:58:44,0,0,0,2
2014-04-28 18:58:45,0,0,0,2
2014-04-28 18:58:46,0,0,0,0
2014-04-28 18:58:47,0,0,0,0
2014-04-28 18:58:48,0,0,0,0
2014-04-28 18:58:49,0,0,0,0
