time,jonathan,charles,yvonne,christina
2014-04-28 15:53:48,0,0,0,0
2014-04-28 15:53:49,2,0,0,0
2014-04-28 15:53:50,2,0,0,0
2014-04-28 15:53:51,1,0,0,0
2014-04-28 15:53:52,1,0,0,0
2014-04-28 15:53:53,1,0,0,0
2014-04-28 15:53:54,1,0,0,0
2014-04-28 15:53:55,1,0,0,0
2014-04-28 15:53:56,1,0,0,0
2014-04-28 15:53:57,2,0,0,0
2014-04-28 15:53:58,0,0,0,0
2014-04-28 15:53:59,0,0,0,0
2014-04-28 15:54:00,0,0,0,0
2014-04-28 15:54:01,0,0,0,0
2014-04-28 15:54:02,0,0,0,0
2014-04-28 15:54:03,0,0,0,0
2014-04-28 15:54:04,0,2,0,0
2014-04-28 15:54:05,0,2,0,0
2014-04-28 15:54:06,1,2,0,0
2014-04-28 15:54:07,3,2,0,0
2014-04-28 15:54:08,1,2,0,0
2014-04-28 15:54:09,1,2,0,0
2014-04-28 15:54:10,1,0,0,0
2014-04-28 15:54:11,1,0,0,0
2014-04-28 15:54:12,1,0,0,0
2014-04-28 15:54:13,1,0,0,0
2014-04-28 15:54:14,1,0,0,0
2014-04-28 15:54:15,1,0,0,0
2014-04-28 15:54:16,1,0,0,0
2014-04-28 15:54:17,1,0,0,0
2014-04-28 15:54:18,1,0,0,0
2014-04-28 15:54:19,1,0,0,0
2014-04-28 15:54:20,2,0,0,0
2014-04-28 15:54:21,0,0,0,0
2014-04-28 15:54:22,0,0,0,0
2014-04-28 15:54:23,0,0,0,0
2014-04-28 15:54:24,0,0,0,0
2014-04-28 15:54:25,0,0,0,0
2014-04-28 15:54:26,0,0,0,0
2014-04-28 15:54:27,0,0,0,0
2014-04-28 15:54:28,0,0,0,0
2014-04-28 15:54:29,0,0,0,0
2014-04-28 15:54:30,0,0,0,0
2014-04-28 15:54:31,0,0,0,0
2014-04-28 15:54:32,0,0,0,0
2014-04-28 15:54:33,0,0,0,0
2014-04-28 15:54:34,0,0,0,0
2014-04-28 15:54:35,0,0,0,0
2014-04-28 15:54:36,0,0,0,0
2014-04-28 15:54:37,0,0,0,0
2014-04-28 15:54:38,0,0,0,0
2014-04-28 15:54:39,0,0,0,0
2014-04-28 15:54:40,0,0,0,0
2014-04-28 15:54:41,0,0,0,0
2014-04-28 15:54:42,0,0,0,0
2014-04-28 15:54:43,0,0,0,0
2014-04-28 15:54:44,0,0,0,0
2014-04-28 15:54:45,0,0,0,0
2014-04-28 15:54:46,0,0,0,0
2014-04-28 15:54:47,0,0,0,0
2014-04-28 15:54:48,0,0,0,0
2014-04-28 15:54:49,0,0,0,0
2014-04-28 15:54:50,0,0,0,0
2014-04-28 15:54:51,0,0,0,0
2014-04-28 15:54:52,0,0,0,0
2014-04-28 15:54:53,0,0,0,0
2014-04-28 15:54:54,0,0,0,0
2014-04-28 15:54:55,0,0,0,0
2014-04-28 15:54:56,0,0,0,0
2014-04-28 15:54:57,0,0,0,0
2014-04-28 15:54:58,0,0,0,0
2014-04-28 15:54:59,0,0,0,0
2014-04-28 15:55:00,0,0,0,0
2014-04-28 15:55:01,2,0,0,0
2014-04-28 15:55:02,2,0,0,0
2014-04-28 15:55:03,2,0,0,0
2014-04-28 15:55:04,2,0,0,0
2014-04-28 15:55:05,2,0,0,0
2014-04-28 15:55:06,2,0,0,0
2014-04-28 15:55:07,2,0,0,0
2014-04-28 15:55:08,2,0,0,0
2014-04-28 15:55:09,2,0,0,0
2014-04-28 15:55:10,2,0,0,0
2014-04-28 15:55:11,2,0,0,0
2014-04-28 15:55:12,2,0,0,0
2014-04-28 15:55:13,1,0,0,0
2014-04-28 15:55:14,2,0,0,0
2014-04-28 15:55:15,2,0,0,0
2014-04-28 15:55:16,1,0,0,0
2014-04-28 15:55:17,1,0,0,0
2014-04-28 15:55:18,1,0,2,0
2014-04-28 15:55:19,1,0,2,0
2014-04-28 15:55:20,1,0,3,0
2014-04-28 15:55:21,0,0,3,0
2014-04-28 15:55:22,0,0,3,0
2014-04-28 15:55:23,0,0,3,0
2014-04-28 15:55:24,0,0,3,0
2014-04-28 15:55:25,0,0,0,0
2014-04-28 15:55:26,0,0,0,0
2014-04-28 15:55:27,0,0,0,0
2014-04-28 15:55:28,0,0,0,0
2014-04-28 15:55:29,0,0,0,0
2014-04-28 15:55:30,0,2,0,0
2014-04-28 15:55:31,0,2,0,0
2014-04-28 15:55:32,0,2,0,0
2014-04-28 15:55:33,0,2,0,0
2014-04-28 15:55:34,0,2,0,0
2014-04-28 15:55:35,2,2,2,0
2014-04-28 15:55:36,2,0,0,0
2014-04-28 15:55:37,2,0,0,0
2014-04-28 15:55:38,2,0,0,0
2014-04-28 15:55:39,2,0,0,0
2014-04-28 15:55:40,2,0,0,0
2014-04-28 15:55:41,0,0,0,0
