time,9A5116EA-2793-4C75-AC93-524C9EF550FD,BD49B35A-8999-4987-9759-8D3F28D1292B,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,24C41EC3-7ECC-40DA-B942-7ABE23017E74
2015-05-07 18:48:38,0,2,4,2
2015-05-07 18:48:39,0,2,4,2
2015-05-07 18:48:40,2,2,3,2
2015-05-07 18:48:41,0,2,2,2
2015-05-07 18:48:42,0,2,2,2
2015-05-07 18:48:43,0,2,2,2
2015-05-07 18:48:44,0,2,2,2
2015-05-07 18:48:45,0,2,2,2
2015-05-07 18:48:46,0,2,2,2
2015-05-07 18:48:47,0,2,4,2
2015-05-07 18:48:48,8,2,4,2
2015-05-07 18:48:49,7,2,4,2
2015-05-07 18:48:50,7,2,4,2
2015-05-07 18:48:51,7,2,4,2
2015-05-07 18:48:52,7,2,2,2
2015-05-07 18:48:53,7,2,2,2
2015-05-07 18:48:54,0,2,2,2
2015-05-07 18:48:55,0,2,2,0
2015-05-07 18:48:56,0,0,0,0
2015-05-07 18:48:57,0,0,0,0
2015-05-07 18:48:58,0,0,0,0
2015-05-07 18:48:59,0,0,0,0
2015-05-07 18:49:00,0,0,0,0
2015-05-07 18:49:01,0,0,0,0
2015-05-07 18:49:02,0,0,0,0
2015-05-07 18:49:03,0,0,0,0
2015-05-07 18:49:04,0,0,0,0
2015-05-07 18:49:05,0,0,0,0
2015-05-07 18:49:06,0,0,0,0
2015-05-07 18:49:07,0,0,0,0
2015-05-07 18:49:08,0,0,0,0
2015-05-07 18:49:09,0,0,0,0
2015-05-07 18:49:10,0,0,0,0
2015-05-07 18:49:11,0,0,0,0
2015-05-07 18:49:12,0,0,0,0
2015-05-07 18:49:13,0,0,0,0
2015-05-07 18:49:14,0,0,0,0
2015-05-07 18:49:15,0,0,0,0
2015-05-07 18:49:16,0,0,0,0
2015-05-07 18:49:17,0,0,0,0
2015-05-07 18:49:18,0,0,0,0
2015-05-07 18:49:19,0,0,0,0
2015-05-07 18:49:20,0,0,0,2
2015-05-07 18:49:21,0,0,0,0
