time,9A5116EA-2793-4C75-AC93-524C9EF550FD,BD49B35A-8999-4987-9759-8D3F28D1292B,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,24C41EC3-7ECC-40DA-B942-7ABE23017E74
2015-05-07 18:40:25,1,1,4,2
2015-05-07 18:40:26,1,1,4,2
2015-05-07 18:40:27,2,1,3,2
2015-05-07 18:40:28,1,1,3,2
2015-05-07 18:40:29,1,1,3,2
2015-05-07 18:40:30,1,1,3,2
2015-05-07 18:40:31,2,1,3,2
2015-05-07 18:40:32,1,1,4,2
2015-05-07 18:40:33,1,1,4,2
2015-05-07 18:40:34,2,1,4,2
2015-05-07 18:40:35,1,1,4,2
2015-05-07 18:40:36,1,1,4,2
2015-05-07 18:40:37,1,1,4,2
2015-05-07 18:40:38,1,1,4,2
2015-05-07 18:40:39,1,1,4,2
2015-05-07 18:40:40,1,1,4,2
2015-05-07 18:40:41,1,1,4,2
2015-05-07 18:40:42,1,1,3,2
2015-05-07 18:40:43,1,1,3,3
2015-05-07 18:40:44,1,1,3,2
2015-05-07 18:40:45,1,1,3,2
2015-05-07 18:40:46,1,1,3,2
2015-05-07 18:40:47,1,1,3,2
2015-05-07 18:40:48,1,1,4,2
2015-05-07 18:40:49,1,1,4,2
2015-05-07 18:40:50,1,1,4,2
2015-05-07 18:40:51,1,3,4,2
2015-05-07 18:40:52,1,3,4,2
2015-05-07 18:40:53,2,3,4,2
2015-05-07 18:40:54,2,3,4,2
2015-05-07 18:40:55,2,1,4,2
2015-05-07 18:40:56,1,1,4,2
2015-05-07 18:40:57,1,1,4,2
2015-05-07 18:40:58,1,1,4,2
2015-05-07 18:40:59,1,1,4,2
2015-05-07 18:41:00,1,1,4,2
2015-05-07 18:41:01,1,1,4,2
2015-05-07 18:41:02,1,1,4,2
2015-05-07 18:41:03,1,1,4,2
2015-05-07 18:41:04,1,1,4,2
2015-05-07 18:41:05,1,1,4,2
2015-05-07 18:41:06,1,1,4,2
2015-05-07 18:41:07,1,1,4,2
2015-05-07 18:41:08,1,1,4,2
2015-05-07 18:41:09,1,1,4,3
2015-05-07 18:41:10,1,1,4,2
2015-05-07 18:41:11,1,1,4,3
2015-05-07 18:41:12,1,1,4,3
2015-05-07 18:41:13,1,1,4,3
2015-05-07 18:41:14,3,1,4,4
2015-05-07 18:41:15,3,1,4,4
2015-05-07 18:41:16,1,1,4,8
2015-05-07 18:41:17,2,1,4,4
2015-05-07 18:41:18,2,1,4,4
2015-05-07 18:41:19,2,1,4,4
2015-05-07 18:41:20,2,1,4,4
2015-05-07 18:41:21,2,1,4,4
2015-05-07 18:41:22,1,1,4,8
2015-05-07 18:41:23,1,1,4,4
2015-05-07 18:41:24,1,1,4,4
2015-05-07 18:41:25,1,3,4,4
2015-05-07 18:41:26,1,3,4,4
2015-05-07 18:41:27,1,3,4,4
2015-05-07 18:41:28,1,3,4,4
2015-05-07 18:41:29,1,3,4,3
2015-05-07 18:41:30,1,3,4,8
2015-05-07 18:41:31,1,3,4,4
2015-05-07 18:41:32,1,3,4,4
2015-05-07 18:41:33,1,3,4,3
2015-05-07 18:41:34,1,3,2,3
2015-05-07 18:41:35,1,3,2,3
2015-05-07 18:41:36,1,3,2,1
2015-05-07 18:41:37,1,3,2,2
2015-05-07 18:41:38,1,3,2,2
2015-05-07 18:41:39,3,1,2,1
2015-05-07 18:41:40,3,1,2,1
2015-05-07 18:41:41,3,3,2,1
2015-05-07 18:41:42,3,3,2,1
2015-05-07 18:41:43,3,1,1,1
2015-05-07 18:41:44,3,1,1,2
2015-05-07 18:41:45,3,1,1,2
2015-05-07 18:41:46,8,1,1,2
2015-05-07 18:41:47,8,1,1,2
2015-05-07 18:41:48,8,1,1,2
2015-05-07 18:41:49,8,1,1,2
2015-05-07 18:41:50,8,1,1,2
2015-05-07 18:41:51,8,1,1,2
2015-05-07 18:41:52,8,1,1,2
2015-05-07 18:41:53,8,1,1,2
2015-05-07 18:41:54,8,1,1,2
2015-05-07 18:41:55,8,1,1,2
2015-05-07 18:41:56,8,1,1,2
2015-05-07 18:41:57,8,1,1,2
2015-05-07 18:41:58,8,1,1,2
2015-05-07 18:41:59,8,1,1,2
2015-05-07 18:42:00,8,1,1,2
2015-05-07 18:42:01,8,1,3,2
2015-05-07 18:42:02,8,1,1,2
2015-05-07 18:42:03,8,1,1,2
2015-05-07 18:42:04,8,1,1,2
2015-05-07 18:42:05,8,1,1,2
2015-05-07 18:42:06,8,1,1,2
2015-05-07 18:42:07,8,1,1,2
2015-05-07 18:42:08,8,1,1,2
2015-05-07 18:42:09,8,1,1,2
2015-05-07 18:42:10,8,1,1,2
2015-05-07 18:42:11,8,1,1,2
2015-05-07 18:42:12,8,1,1,2
2015-05-07 18:42:13,8,1,3,2
2015-05-07 18:42:14,7,1,1,2
2015-05-07 18:42:15,7,1,8,2
2015-05-07 18:42:16,5,2,0,2
2015-05-07 18:42:17,2,2,0,2
2015-05-07 18:42:18,2,2,0,2
2015-05-07 18:42:19,2,2,2,2
2015-05-07 18:42:20,2,2,4,2
2015-05-07 18:42:21,2,2,4,2
2015-05-07 18:42:22,2,2,4,2
2015-05-07 18:42:23,2,2,4,2
2015-05-07 18:42:24,2,2,4,2
2015-05-07 18:42:25,2,2,4,2
2015-05-07 18:42:26,2,2,4,2
2015-05-07 18:42:27,2,2,4,2
2015-05-07 18:42:28,2,2,4,2
2015-05-07 18:42:29,2,1,4,2
2015-05-07 18:42:30,2,1,4,2
2015-05-07 18:42:31,2,3,4,2
2015-05-07 18:42:32,2,1,4,2
2015-05-07 18:42:33,2,1,4,2
2015-05-07 18:42:34,2,1,4,2
2015-05-07 18:42:35,2,1,4,2
2015-05-07 18:42:36,2,1,4,2
2015-05-07 18:42:37,2,1,4,2
2015-05-07 18:42:38,2,1,4,2
2015-05-07 18:42:39,1,1,4,2
2015-05-07 18:42:40,1,1,4,2
2015-05-07 18:42:41,1,1,4,2
2015-05-07 18:42:42,1,1,4,2
2015-05-07 18:42:43,1,1,4,2
2015-05-07 18:42:44,1,1,4,2
2015-05-07 18:42:45,1,1,4,2
2015-05-07 18:42:46,2,1,4,2
2015-05-07 18:42:47,2,1,4,2
2015-05-07 18:42:48,2,1,4,2
2015-05-07 18:42:49,2,1,4,2
2015-05-07 18:42:50,2,1,4,2
2015-05-07 18:42:51,2,1,4,2
