time,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-06-03 13:28:26,0,0
2015-06-03 13:28:27,2,0
2015-06-03 13:28:28,2,0
2015-06-03 13:28:29,2,0
2015-06-03 13:28:30,2,0
2015-06-03 13:28:31,2,0
2015-06-03 13:28:32,1,0
2015-06-03 13:28:33,3,0
2015-06-03 13:28:34,3,0
2015-06-03 13:28:35,4,0
2015-06-03 13:28:36,4,0
2015-06-03 13:28:37,6,0
2015-06-03 13:28:38,6,0
2015-06-03 13:28:39,4,0
2015-06-03 13:28:40,4,0
2015-06-03 13:28:41,4,0
2015-06-03 13:28:42,4,4
2015-06-03 13:28:43,4,4
2015-06-03 13:28:44,4,4
2015-06-03 13:28:45,4,4
2015-06-03 13:28:46,4,4
2015-06-03 13:28:47,4,4
2015-06-03 13:28:48,4,4
2015-06-03 13:28:49,4,4
2015-06-03 13:28:50,4,3
2015-06-03 13:28:51,4,3
2015-06-03 13:28:52,0,3
2015-06-03 13:28:53,0,3
2015-06-03 13:28:54,0,3
2015-06-03 13:28:55,0,3
2015-06-03 13:28:56,0,3
2015-06-03 13:28:57,0,3
2015-06-03 13:28:58,0,2
2015-06-03 13:28:59,0,2
2015-06-03 13:29:00,0,1
2015-06-03 13:29:01,0,3
2015-06-03 13:29:02,0,2
2015-06-03 13:29:03,0,2
2015-06-03 13:29:04,0,3
2015-06-03 13:29:05,0,2
2015-06-03 13:29:06,0,2
2015-06-03 13:29:07,0,2
2015-06-03 13:29:08,0,2
2015-06-03 13:29:09,0,2
2015-06-03 13:29:10,0,2
2015-06-03 13:29:11,0,2
2015-06-03 13:29:12,0,1
2015-06-03 13:29:13,0,1
2015-06-03 13:29:14,0,3
2015-06-03 13:29:15,0,3
2015-06-03 13:29:16,0,3
2015-06-03 13:29:17,0,4
2015-06-03 13:29:18,2,2
2015-06-03 13:29:19,2,0
2015-06-03 13:29:20,2,0
2015-06-03 13:29:21,2,0
2015-06-03 13:29:22,2,0
2015-06-03 13:29:23,6,0
2015-06-03 13:29:24,0,0
2015-06-03 13:29:25,0,0
2015-06-03 13:29:26,0,0
2015-06-03 13:29:27,0,0
2015-06-03 13:29:28,0,0
2015-06-03 13:29:29,0,2
2015-06-03 13:29:30,0,2
2015-06-03 13:29:31,0,3
2015-06-03 13:29:32,0,1
2015-06-03 13:29:33,0,1
2015-06-03 13:29:34,0,1
2015-06-03 13:29:35,2,1
2015-06-03 13:29:36,5,1
2015-06-03 13:29:37,1,2
2015-06-03 13:29:38,1,2
2015-06-03 13:29:39,1,2
2015-06-03 13:29:40,1,2
2015-06-03 13:29:41,1,2
2015-06-03 13:29:42,1,2
2015-06-03 13:29:43,1,2
2015-06-03 13:29:44,1,2
2015-06-03 13:29:45,1,2
2015-06-03 13:29:46,3,2
2015-06-03 13:29:47,3,2
2015-06-03 13:29:48,4,2
2015-06-03 13:29:49,4,2
2015-06-03 13:29:50,4,2
2015-06-03 13:29:51,3,1
2015-06-03 13:29:52,2,1
2015-06-03 13:29:53,2,1
2015-06-03 13:29:54,2,1
2015-06-03 13:29:55,5,1
2015-06-03 13:29:56,5,2
2015-06-03 13:29:57,5,2
2015-06-03 13:29:58,5,2
2015-06-03 13:29:59,5,0
2015-06-03 13:30:00,5,0
2015-06-03 13:30:01,5,0
2015-06-03 13:30:02,5,0
2015-06-03 13:30:03,5,0
2015-06-03 13:30:04,2,0
2015-06-03 13:30:05,2,0
2015-06-03 13:30:06,2,0
2015-06-03 13:30:07,2,0
2015-06-03 13:30:08,2,0
2015-06-03 13:30:09,2,0
2015-06-03 13:30:10,2,0
2015-06-03 13:30:11,2,0
2015-06-03 13:30:12,2,0
2015-06-03 13:30:13,2,0
2015-06-03 13:30:14,2,0
2015-06-03 13:30:15,2,0
2015-06-03 13:30:16,2,0
2015-06-03 13:30:17,2,0
2015-06-03 13:30:18,2,0
2015-06-03 13:30:19,2,0
2015-06-03 13:30:20,2,0
2015-06-03 13:30:21,2,0
2015-06-03 13:30:22,2,0
2015-06-03 13:30:23,2,0
2015-06-03 13:30:24,0,0
2015-06-03 13:30:25,0,0
2015-06-03 13:30:26,0,0
2015-06-03 13:30:27,2,0
2015-06-03 13:30:28,2,0
2015-06-03 13:30:29,1,0
2015-06-03 13:30:30,1,0
2015-06-03 13:30:31,1,0
2015-06-03 13:30:32,1,0
2015-06-03 13:30:33,1,2
2015-06-03 13:30:34,1,2
2015-06-03 13:30:35,1,2
2015-06-03 13:30:36,1,3
2015-06-03 13:30:37,1,3
2015-06-03 13:30:38,1,2
2015-06-03 13:30:39,3,2
2015-06-03 13:30:40,3,2
2015-06-03 13:30:41,4,0
2015-06-03 13:30:42,4,0
2015-06-03 13:30:43,4,0
2015-06-03 13:30:44,4,0
2015-06-03 13:30:45,3,0
2015-06-03 13:30:46,2,0
2015-06-03 13:30:47,3,0
2015-06-03 13:30:48,3,0
2015-06-03 13:30:49,3,4
2015-06-03 13:30:50,3,4
2015-06-03 13:30:51,3,4
2015-06-03 13:30:52,2,4
2015-06-03 13:30:53,1,6
2015-06-03 13:30:54,1,6
2015-06-03 13:30:55,2,6
2015-06-03 13:30:56,4,6
2015-06-03 13:30:57,4,4
2015-06-03 13:30:58,7,4
2015-06-03 13:30:59,6,4
2015-06-03 13:31:00,6,4
2015-06-03 13:31:01,6,4
2015-06-03 13:31:02,6,4
2015-06-03 13:31:03,4,4
2015-06-03 13:31:04,4,4
2015-06-03 13:31:05,4,4
2015-06-03 13:31:06,4,4
2015-06-03 13:31:07,6,3
2015-06-03 13:31:08,6,3
2015-06-03 13:31:09,6,3
2015-06-03 13:31:10,7,3
2015-06-03 13:31:11,7,1
2015-06-03 13:31:12,7,1
2015-06-03 13:31:13,7,1
2015-06-03 13:31:14,7,1
2015-06-03 13:31:15,7,1
2015-06-03 13:31:16,7,1
2015-06-03 13:31:17,4,2
2015-06-03 13:31:18,4,2
2015-06-03 13:31:19,4,0
2015-06-03 13:31:20,0,0
2015-06-03 13:31:21,3,0
2015-06-03 13:31:22,4,0
2015-06-03 13:31:23,4,0
2015-06-03 13:31:24,4,0
2015-06-03 13:31:25,4,0
