time,christina,jonathan,charles
2014-08-14 19:02:40,0,0,0
2014-08-14 19:02:41,2,0,0
2014-08-14 19:02:42,2,0,0
2014-08-14 19:02:43,2,0,0
2014-08-14 19:02:44,2,0,0
2014-08-14 19:02:45,2,0,0
2014-08-14 19:02:46,0,0,0
2014-08-14 19:02:47,0,0,0
2014-08-14 19:02:48,0,0,0
2014-08-14 19:02:49,0,0,0
2014-08-14 19:02:50,0,0,0
2014-08-14 19:02:51,0,0,0
2014-08-14 19:02:52,0,0,0
2014-08-14 19:02:53,0,0,0
2014-08-14 19:02:54,0,0,0
2014-08-14 19:02:55,0,0,0
2014-08-14 19:02:56,0,0,0
2014-08-14 19:02:57,0,0,0
2014-08-14 19:02:58,0,0,0
2014-08-14 19:02:59,0,0,0
2014-08-14 19:03:00,0,0,0
2014-08-14 19:03:01,0,0,0
2014-08-14 19:03:02,0,0,0
2014-08-14 19:03:03,0,0,0
2014-08-14 19:03:04,0,0,0
2014-08-14 19:03:05,0,0,0
2014-08-14 19:03:06,0,0,0
2014-08-14 19:03:07,0,0,0
2014-08-14 19:03:08,0,0,0
2014-08-14 19:03:09,0,0,0
2014-08-14 19:03:10,2,0,0
2014-08-14 19:03:11,4,0,0
2014-08-14 19:03:12,4,0,0
2014-08-14 19:03:13,4,0,0
2014-08-14 19:03:14,4,0,0
2014-08-14 19:03:15,4,0,0
2014-08-14 19:03:16,4,0,0
2014-08-14 19:03:17,4,0,0
2014-08-14 19:03:18,4,0,0
2014-08-14 19:03:19,7,0,0
2014-08-14 19:03:20,4,0,0
2014-08-14 19:03:21,2,0,0
2014-08-14 19:03:22,0,0,0
2014-08-14 19:03:23,0,0,0
2014-08-14 19:03:24,0,0,0
2014-08-14 19:03:25,0,0,0
2014-08-14 19:03:26,0,0,0
2014-08-14 19:03:27,0,0,0
2014-08-14 19:03:28,0,0,0
2014-08-14 19:03:29,0,0,0
2014-08-14 19:03:30,0,0,0
2014-08-14 19:03:31,0,0,0
2014-08-14 19:03:32,0,0,0
2014-08-14 19:03:33,0,0,0
2014-08-14 19:03:34,0,0,0
2014-08-14 19:03:35,0,0,0
2014-08-14 19:03:36,0,0,0
2014-08-14 19:03:37,0,0,0
2014-08-14 19:03:38,0,0,0
2014-08-14 19:03:39,0,0,0
2014-08-14 19:03:40,0,0,0
2014-08-14 19:03:41,0,0,0
2014-08-14 19:03:42,0,0,0
2014-08-14 19:03:43,0,0,0
2014-08-14 19:03:44,0,0,0
2014-08-14 19:03:45,0,0,0
2014-08-14 19:03:46,0,0,0
2014-08-14 19:03:47,0,0,0
2014-08-14 19:03:48,0,0,0
2014-08-14 19:03:49,0,0,0
2014-08-14 19:03:50,0,0,0
2014-08-14 19:03:51,0,0,0
2014-08-14 19:03:52,0,0,0
2014-08-14 19:03:53,0,0,0
2014-08-14 19:03:54,0,0,0
2014-08-14 19:03:55,0,0,0
2014-08-14 19:03:56,0,0,0
2014-08-14 19:03:57,0,0,0
2014-08-14 19:03:58,0,0,0
2014-08-14 19:03:59,0,0,0
2014-08-14 19:04:00,0,0,0
2014-08-14 19:04:01,0,0,0
2014-08-14 19:04:02,0,0,0
2014-08-14 19:04:03,0,0,0
2014-08-14 19:04:04,0,0,0
2014-08-14 19:04:05,0,0,0
2014-08-14 19:04:06,0,0,0
2014-08-14 19:04:07,0,0,0
2014-08-14 19:04:08,0,0,0
2014-08-14 19:04:09,0,0,0
2014-08-14 19:04:10,0,0,0
2014-08-14 19:04:11,0,0,0
2014-08-14 19:04:12,0,0,0
2014-08-14 19:04:13,0,0,0
2014-08-14 19:04:14,0,0,0
2014-08-14 19:04:15,0,0,0
2014-08-14 19:04:16,0,0,0
2014-08-14 19:04:17,0,0,0
2014-08-14 19:04:18,0,0,0
2014-08-14 19:04:19,0,0,0
2014-08-14 19:04:20,0,0,0
2014-08-14 19:04:21,0,0,0
2014-08-14 19:04:22,0,0,0
2014-08-14 19:04:23,0,0,0
2014-08-14 19:04:24,0,0,0
2014-08-14 19:04:25,0,0,0
2014-08-14 19:04:26,0,0,0
2014-08-14 19:04:27,0,0,0
2014-08-14 19:04:28,0,0,0
2014-08-14 19:04:29,0,0,0
2014-08-14 19:04:30,0,0,0
2014-08-14 19:04:31,0,0,0
2014-08-14 19:04:32,0,0,0
2014-08-14 19:04:33,0,0,0
2014-08-14 19:04:34,0,0,0
2014-08-14 19:04:35,0,0,0
2014-08-14 19:04:36,0,0,0
2014-08-14 19:04:37,0,0,0
2014-08-14 19:04:38,0,0,0
