time,charles,charles_ipadair,yvonne
2014-05-05 21:06:10,0,0,0
2014-05-05 21:06:11,5,2,0
2014-05-05 21:06:12,5,7,0
2014-05-05 21:06:13,7,7,0
2014-05-05 21:06:14,7,7,2
2014-05-05 21:06:15,7,7,2
2014-05-05 21:06:16,7,7,2
2014-05-05 21:06:17,7,7,3
2014-05-05 21:06:18,4,7,3
2014-05-05 21:06:19,2,7,2
2014-05-05 21:06:20,2,7,3
2014-05-05 21:06:21,2,7,4
2014-05-05 21:06:22,2,7,4
2014-05-05 21:06:23,2,7,3
2014-05-05 21:06:24,2,7,3
2014-05-05 21:06:25,2,7,3
2014-05-05 21:06:26,4,7,3
2014-05-05 21:06:27,4,7,3
2014-05-05 21:06:28,4,5,3
2014-05-05 21:06:29,3,5,3
2014-05-05 21:06:30,3,5,3
2014-05-05 21:06:31,3,7,3
2014-05-05 21:06:32,3,7,3
2014-05-05 21:06:33,3,7,3
2014-05-05 21:06:34,4,6,3
2014-05-05 21:06:35,3,7,3
2014-05-05 21:06:36,4,6,3
2014-05-05 21:06:37,4,7,3
2014-05-05 21:06:38,3,7,3
2014-05-05 21:06:39,3,7,3
2014-05-05 21:06:40,4,7,3
2014-05-05 21:06:41,4,7,4
2014-05-05 21:06:42,4,7,4
2014-05-05 21:06:43,4,7,2
2014-05-05 21:06:44,4,7,0
2014-05-05 21:06:45,0,7,2
2014-05-05 21:06:46,0,5,2
2014-05-05 21:06:47,0,7,3
2014-05-05 21:06:48,0,0,3
2014-05-05 21:06:49,0,2,3
2014-05-05 21:06:50,6,2,3
2014-05-05 21:06:51,6,2,3
2014-05-05 21:06:52,2,2,3
2014-05-05 21:06:53,2,2,3
2014-05-05 21:06:54,2,2,3
2014-05-05 21:06:55,2,2,3
2014-05-05 21:06:56,2,2,2
2014-05-05 21:06:57,2,2,2
2014-05-05 21:06:58,2,2,0
2014-05-05 21:06:59,2,2,0
2014-05-05 21:07:00,2,2,0
2014-05-05 21:07:01,2,2,0
2014-05-05 21:07:02,2,2,0
2014-05-05 21:07:03,2,2,0
2014-05-05 21:07:04,2,2,0
2014-05-05 21:07:05,0,2,0
2014-05-05 21:07:06,0,2,0
2014-05-05 21:07:07,0,2,4
2014-05-05 21:07:08,0,2,4
2014-05-05 21:07:09,6,2,4
2014-05-05 21:07:10,2,2,4
2014-05-05 21:07:11,2,2,3
2014-05-05 21:07:12,2,2,4
2014-05-05 21:07:13,2,2,4
2014-05-05 21:07:14,2,2,4
2014-05-05 21:07:15,2,2,4
2014-05-05 21:07:16,3,2,2
2014-05-05 21:07:17,3,2,2
2014-05-05 21:07:18,3,1,2
2014-05-05 21:07:19,3,1,2
2014-05-05 21:07:20,3,1,2
2014-05-05 21:07:21,3,1,2
2014-05-05 21:07:22,3,1,2
2014-05-05 21:07:23,3,1,2
2014-05-05 21:07:24,3,1,2
2014-05-05 21:07:25,3,1,2
2014-05-05 21:07:26,3,1,2
2014-05-05 21:07:27,3,2,2
2014-05-05 21:07:28,3,2,2
2014-05-05 21:07:29,4,1,2
2014-05-05 21:07:30,2,1,2
2014-05-05 21:07:31,6,1,2
2014-05-05 21:07:32,6,1,2
2014-05-05 21:07:33,6,1,2
2014-05-05 21:07:34,0,1,2
2014-05-05 21:07:35,3,1,2
2014-05-05 21:07:36,3,3,2
2014-05-05 21:07:37,4,3,2
2014-05-05 21:07:38,4,7,3
2014-05-05 21:07:39,4,7,4
2014-05-05 21:07:40,4,7,4
2014-05-05 21:07:41,4,7,4
2014-05-05 21:07:42,4,8,4
2014-05-05 21:07:43,4,7,4
2014-05-05 21:07:44,4,7,4
2014-05-05 21:07:45,4,8,4
2014-05-05 21:07:46,4,7,4
2014-05-05 21:07:47,4,7,4
2014-05-05 21:07:48,4,8,4
2014-05-05 21:07:49,4,7,4
2014-05-05 21:07:50,4,7,3
2014-05-05 21:07:51,4,7,4
2014-05-05 21:07:52,4,7,3
2014-05-05 21:07:53,3,7,3
2014-05-05 21:07:54,3,7,3
2014-05-05 21:07:55,3,7,3
2014-05-05 21:07:56,3,7,3
2014-05-05 21:07:57,1,8,3
2014-05-05 21:07:58,3,7,3
2014-05-05 21:07:59,3,7,3
2014-05-05 21:08:00,1,7,3
2014-05-05 21:08:01,1,7,3
2014-05-05 21:08:02,1,7,3
2014-05-05 21:08:03,1,7,3
2014-05-05 21:08:04,1,7,3
2014-05-05 21:08:05,1,7,4
2014-05-05 21:08:06,3,1,4
2014-05-05 21:08:07,3,1,4
2014-05-05 21:08:08,1,1,2
2014-05-05 21:08:09,1,1,2
2014-05-05 21:08:10,1,1,2
2014-05-05 21:08:11,1,1,2
2014-05-05 21:08:12,3,1,2
2014-05-05 21:08:13,3,1,2
2014-05-05 21:08:14,1,1,2
2014-05-05 21:08:15,1,1,0
2014-05-05 21:08:16,1,1,0
2014-05-05 21:08:17,1,1,0
2014-05-05 21:08:18,1,2,0
2014-05-05 21:08:19,1,0,0
2014-05-05 21:08:20,1,0,0
2014-05-05 21:08:21,1,0,0
2014-05-05 21:08:22,1,6,0
2014-05-05 21:08:23,1,6,0
2014-05-05 21:08:24,1,6,0
2014-05-05 21:08:25,1,6,0
2014-05-05 21:08:26,1,6,0
2014-05-05 21:08:27,1,0,0
2014-05-05 21:08:28,1,0,0
2014-05-05 21:08:29,1,0,0
2014-05-05 21:08:30,3,2,2
2014-05-05 21:08:31,3,2,2
2014-05-05 21:08:32,2,2,5
2014-05-05 21:08:33,6,2,5
2014-05-05 21:08:34,2,2,5
2014-05-05 21:08:35,2,2,5
2014-05-05 21:08:36,2,2,5
2014-05-05 21:08:37,2,2,5
2014-05-05 21:08:38,2,2,5
2014-05-05 21:08:39,7,2,2
2014-05-05 21:08:40,7,2,0
2014-05-05 21:08:41,7,2,0
2014-05-05 21:08:42,7,2,0
2014-05-05 21:08:43,6,2,0
2014-05-05 21:08:44,6,2,2
2014-05-05 21:08:45,8,2,2
2014-05-05 21:08:46,6,2,2
2014-05-05 21:08:47,6,2,2
2014-05-05 21:08:48,6,4,2
2014-05-05 21:08:49,6,8,2
2014-05-05 21:08:50,6,8,2
2014-05-05 21:08:51,6,7,2
2014-05-05 21:08:52,7,7,2
2014-05-05 21:08:53,4,7,2
2014-05-05 21:08:54,3,7,2
2014-05-05 21:08:55,3,7,2
2014-05-05 21:08:56,3,7,2
2014-05-05 21:08:57,3,7,2
2014-05-05 21:08:58,3,7,2
2014-05-05 21:08:59,3,7,2
2014-05-05 21:09:00,1,7,2
2014-05-05 21:09:01,1,7,2
2014-05-05 21:09:02,3,7,2
2014-05-05 21:09:03,3,7,2
2014-05-05 21:09:04,3,7,2
2014-05-05 21:09:05,4,7,2
2014-05-05 21:09:06,6,7,2
2014-05-05 21:09:07,2,7,2
2014-05-05 21:09:08,2,7,2
2014-05-05 21:09:09,2,7,5
2014-05-05 21:09:10,2,7,5
2014-05-05 21:09:11,3,7,5
2014-05-05 21:09:12,3,7,3
2014-05-05 21:09:13,3,7,4
2014-05-05 21:09:14,3,7,4
2014-05-05 21:09:15,3,7,4
2014-05-05 21:09:16,3,7,7
2014-05-05 21:09:17,3,7,7
2014-05-05 21:09:18,3,7,7
2014-05-05 21:09:19,3,7,8
2014-05-05 21:09:20,3,7,7
2014-05-05 21:09:21,3,7,8
2014-05-05 21:09:22,3,7,7
2014-05-05 21:09:23,3,7,7
2014-05-05 21:09:24,3,7,4
2014-05-05 21:09:25,3,7,4
2014-05-05 21:09:26,3,7,4
2014-05-05 21:09:27,3,7,4
2014-05-05 21:09:28,2,7,4
2014-05-05 21:09:29,2,7,4
2014-05-05 21:09:30,2,4,4
