time,yvonne,christina,jonathan
2014-07-19 16:04:29,0,0,0
2014-07-19 16:04:30,2,0,0
2014-07-19 16:04:31,2,0,0
2014-07-19 16:04:32,3,0,0
2014-07-19 16:04:33,3,2,0
2014-07-19 16:04:34,3,2,0
2014-07-19 16:04:35,0,1,0
2014-07-19 16:04:36,0,1,0
2014-07-19 16:04:37,0,1,0
2014-07-19 16:04:38,1,1,0
2014-07-19 16:04:39,1,1,0
2014-07-19 16:04:40,3,1,0
2014-07-19 16:04:41,3,1,0
2014-07-19 16:04:42,1,1,0
2014-07-19 16:04:43,1,1,0
2014-07-19 16:04:44,1,1,2
2014-07-19 16:04:45,1,1,1
2014-07-19 16:04:46,1,1,1
2014-07-19 16:04:47,1,1,1
2014-07-19 16:04:48,1,1,1
2014-07-19 16:04:49,1,1,1
2014-07-19 16:04:50,1,1,1
2014-07-19 16:04:51,1,1,1
2014-07-19 16:04:52,1,1,1
2014-07-19 16:04:53,1,1,1
2014-07-19 16:04:54,1,1,1
2014-07-19 16:04:55,1,1,1
2014-07-19 16:04:56,1,1,1
2014-07-19 16:04:57,1,1,1
2014-07-19 16:04:58,1,1,1
2014-07-19 16:04:59,1,1,1
2014-07-19 16:05:00,1,1,1
2014-07-19 16:05:01,1,1,1
2014-07-19 16:05:02,1,1,1
2014-07-19 16:05:03,1,1,1
2014-07-19 16:05:04,1,1,1
2014-07-19 16:05:05,1,1,1
2014-07-19 16:05:06,1,1,1
2014-07-19 16:05:07,1,1,1
2014-07-19 16:05:08,1,1,1
2014-07-19 16:05:09,1,1,1
2014-07-19 16:05:10,1,1,1
2014-07-19 16:05:11,1,1,1
2014-07-19 16:05:12,1,1,1
2014-07-19 16:05:13,1,1,1
2014-07-19 16:05:14,1,1,1
2014-07-19 16:05:15,1,1,1
2014-07-19 16:05:16,1,1,1
2014-07-19 16:05:17,1,1,1
2014-07-19 16:05:18,1,1,1
2014-07-19 16:05:19,1,1,1
2014-07-19 16:05:20,1,1,1
2014-07-19 16:05:21,1,1,1
2014-07-19 16:05:22,1,1,1
2014-07-19 16:05:23,1,1,1
2014-07-19 16:05:24,1,1,1
2014-07-19 16:05:25,1,1,1
2014-07-19 16:05:26,1,1,1
2014-07-19 16:05:27,1,1,1
2014-07-19 16:05:28,1,1,1
2014-07-19 16:05:29,1,1,1
2014-07-19 16:05:30,1,1,1
2014-07-19 16:05:31,1,1,1
2014-07-19 16:05:32,1,1,1
2014-07-19 16:05:33,1,1,1
2014-07-19 16:05:34,1,1,1
2014-07-19 16:05:35,1,1,1
2014-07-19 16:05:36,1,3,1
2014-07-19 16:05:37,1,3,1
2014-07-19 16:05:38,1,1,1
2014-07-19 16:05:39,1,1,1
2014-07-19 16:05:40,1,1,1
2014-07-19 16:05:41,1,1,1
2014-07-19 16:05:42,1,1,1
2014-07-19 16:05:43,1,1,1
2014-07-19 16:05:44,1,1,1
2014-07-19 16:05:45,1,1,1
2014-07-19 16:05:46,1,1,1
2014-07-19 16:05:47,1,3,1
2014-07-19 16:05:48,1,4,1
2014-07-19 16:05:49,1,7,1
2014-07-19 16:05:50,1,7,1
2014-07-19 16:05:51,1,8,1
2014-07-19 16:05:52,1,6,1
2014-07-19 16:05:53,1,7,1
2014-07-19 16:05:54,1,7,1
2014-07-19 16:05:55,1,7,1
2014-07-19 16:05:56,3,7,1
2014-07-19 16:05:57,3,7,1
2014-07-19 16:05:58,3,7,1
2014-07-19 16:05:59,3,6,1
2014-07-19 16:06:00,3,8,1
2014-07-19 16:06:01,1,6,1
2014-07-19 16:06:02,3,6,1
2014-07-19 16:06:03,3,7,1
2014-07-19 16:06:04,1,7,1
2014-07-19 16:06:05,1,7,1
2014-07-19 16:06:06,5,7,1
2014-07-19 16:06:07,5,7,1
2014-07-19 16:06:08,5,7,1
2014-07-19 16:06:09,5,7,1
2014-07-19 16:06:10,5,7,3
2014-07-19 16:06:11,5,8,3
2014-07-19 16:06:12,5,4,3
2014-07-19 16:06:13,2,5,3
2014-07-19 16:06:14,5,5,3
2014-07-19 16:06:15,5,5,3
2014-07-19 16:06:16,2,5,3
2014-07-19 16:06:17,2,5,3
2014-07-19 16:06:18,5,4,3
2014-07-19 16:06:19,2,4,3
2014-07-19 16:06:20,5,4,2
2014-07-19 16:06:21,4,4,0
2014-07-19 16:06:22,4,4,0
2014-07-19 16:06:23,4,4,2
2014-07-19 16:06:24,4,4,3
2014-07-19 16:06:25,4,4,3
2014-07-19 16:06:26,4,4,3
2014-07-19 16:06:27,4,4,3
2014-07-19 16:06:28,4,4,2
2014-07-19 16:06:29,4,4,2
2014-07-19 16:06:30,4,4,2
2014-07-19 16:06:31,4,6,2
2014-07-19 16:06:32,4,7,2
2014-07-19 16:06:33,4,7,2
2014-07-19 16:06:34,4,7,2
2014-07-19 16:06:35,4,7,2
2014-07-19 16:06:36,6,4,2
2014-07-19 16:06:37,6,4,2
2014-07-19 16:06:38,4,4,2
2014-07-19 16:06:39,4,4,3
2014-07-19 16:06:40,4,4,3
2014-07-19 16:06:41,4,4,3
2014-07-19 16:06:42,4,4,3
2014-07-19 16:06:43,4,7,4
2014-07-19 16:06:44,4,7,4
2014-07-19 16:06:45,4,7,3
2014-07-19 16:06:46,4,7,3
2014-07-19 16:06:47,4,4,3
2014-07-19 16:06:48,4,4,3
2014-07-19 16:06:49,4,4,4
2014-07-19 16:06:50,4,4,4
2014-07-19 16:06:51,4,4,7
2014-07-19 16:06:52,7,7,7
2014-07-19 16:06:53,4,7,7
2014-07-19 16:06:54,4,7,4
2014-07-19 16:06:55,4,4,4
2014-07-19 16:06:56,3,4,4
2014-07-19 16:06:57,3,4,1
2014-07-19 16:06:58,3,3,1
2014-07-19 16:06:59,3,4,1
2014-07-19 16:07:00,3,7,1
2014-07-19 16:07:01,3,4,1
2014-07-19 16:07:02,3,4,1
2014-07-19 16:07:03,3,3,1
2014-07-19 16:07:04,3,3,1
2014-07-19 16:07:05,3,3,1
2014-07-19 16:07:06,3,3,1
2014-07-19 16:07:07,3,3,1
2014-07-19 16:07:08,3,3,1
2014-07-19 16:07:09,3,1,1
2014-07-19 16:07:10,3,1,1
2014-07-19 16:07:11,3,1,1
2014-07-19 16:07:12,3,1,1
2014-07-19 16:07:13,3,1,1
2014-07-19 16:07:14,4,1,1
2014-07-19 16:07:15,4,3,1
2014-07-19 16:07:16,7,3,1
2014-07-19 16:07:17,7,3,1
2014-07-19 16:07:18,3,7,1
2014-07-19 16:07:19,3,7,1
2014-07-19 16:07:20,1,3,1
2014-07-19 16:07:21,1,3,1
2014-07-19 16:07:22,1,3,1
2014-07-19 16:07:23,3,3,1
2014-07-19 16:07:24,3,3,1
2014-07-19 16:07:25,3,3,1
2014-07-19 16:07:26,3,3,1
2014-07-19 16:07:27,3,3,1
2014-07-19 16:07:28,3,4,1
