time,2FA454D2-F35D-45D6-BE5D-D848B409B713,7FC04E34-F3AE-4764-9432-DD032ED6C36B,24C41EC3-7ECC-40DA-B942-7ABE23017E74,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,BD49B35A-8999-4987-9759-8D3F28D1292B,275913F5-90E9-4C82-B94C-29A8AA3B4C57
2015-03-20 13:42:48,7,2,2,7,2,8
2015-03-20 13:42:49,7,2,2,7,2,8
2015-03-20 13:42:50,7,1,2,5,2,8
2015-03-20 13:42:51,7,5,2,5,1,8
2015-03-20 13:42:52,7,5,2,5,8,7
2015-03-20 13:42:53,7,5,2,5,7,5
2015-03-20 13:42:54,5,5,2,5,7,5
2015-03-20 13:42:55,5,5,2,5,7,5
2015-03-20 13:42:56,5,5,2,5,7,7
2015-03-20 13:42:57,5,5,2,5,7,8
2015-03-20 13:42:58,7,5,2,5,7,5
2015-03-20 13:42:59,7,5,2,5,7,5
2015-03-20 13:43:00,7,5,5,5,7,7
2015-03-20 13:43:01,7,5,8,5,7,7
2015-03-20 13:43:02,7,5,8,5,7,5
2015-03-20 13:43:03,7,5,8,5,7,7
2015-03-20 13:43:04,7,5,7,5,7,7
2015-03-20 13:43:05,7,5,7,5,7,7
2015-03-20 13:43:06,7,5,7,5,7,7
2015-03-20 13:43:07,5,5,7,5,7,7
2015-03-20 13:43:08,7,5,7,5,7,7
2015-03-20 13:43:09,7,5,7,2,7,7
2015-03-20 13:43:10,7,5,7,2,7,7
2015-03-20 13:43:11,7,5,7,2,7,8
2015-03-20 13:43:12,7,5,7,2,7,8
2015-03-20 13:43:13,7,5,7,2,7,8
2015-03-20 13:43:14,7,5,7,2,7,8
2015-03-20 13:43:15,6,5,7,2,7,8
2015-03-20 13:43:16,5,5,7,2,7,8
2015-03-20 13:43:17,8,5,7,2,7,8
2015-03-20 13:43:18,0,5,7,2,7,7
2015-03-20 13:43:19,2,5,7,2,7,8
2015-03-20 13:43:20,2,8,7,2,7,8
