time,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,BD49B35A-8999-4987-9759-8D3F28D1292B,7FC04E34-F3AE-4764-9432-DD032ED6C36B,24C41EC3-7ECC-40DA-B942-7ABE23017E74,275913F5-90E9-4C82-B94C-29A8AA3B4C57,2FA454D2-F35D-45D6-BE5D-D848B409B713
2015-03-21 23:50:33,2,8,2,7,7,2
2015-03-21 23:50:34,2,2,2,7,7,2
2015-03-21 23:50:35,2,2,2,7,7,2
2015-03-21 23:50:36,2,2,2,7,7,2
2015-03-21 23:50:37,2,2,2,7,7,2
2015-03-21 23:50:38,2,2,2,6,7,2
2015-03-21 23:50:39,2,2,2,6,7,2
2015-03-21 23:50:40,2,2,2,6,7,2
2015-03-21 23:50:41,2,2,2,7,7,2
2015-03-21 23:50:42,2,2,2,7,8,2
2015-03-21 23:50:43,2,2,2,4,8,2
2015-03-21 23:50:44,2,2,2,8,3,2
2015-03-21 23:50:45,2,2,2,2,2,2
2015-03-21 23:50:46,2,2,2,2,2,2
2015-03-21 23:50:47,2,2,2,2,2,2
2015-03-21 23:50:48,2,2,2,2,2,2
2015-03-21 23:50:49,2,2,2,2,2,2
2015-03-21 23:50:50,2,2,2,2,2,2
2015-03-21 23:50:51,2,2,2,4,2,2
2015-03-21 23:50:52,2,2,2,4,2,2
2015-03-21 23:50:53,2,2,2,4,2,2
2015-03-21 23:50:54,2,2,2,4,2,2
2015-03-21 23:50:55,2,2,2,4,2,2
2015-03-21 23:50:56,2,2,2,4,2,2
2015-03-21 23:50:57,2,2,2,4,2,2
2015-03-21 23:50:58,2,2,2,4,2,2
2015-03-21 23:50:59,2,2,2,4,2,2
2015-03-21 23:51:00,2,2,2,2,2,2
2015-03-21 23:51:01,2,2,2,3,2,2
2015-03-21 23:51:02,2,2,2,3,2,2
2015-03-21 23:51:03,2,2,2,3,2,2
2015-03-21 23:51:04,2,2,2,8,2,2
2015-03-21 23:51:05,2,2,2,3,2,2
2015-03-21 23:51:06,2,2,2,3,2,2
2015-03-21 23:51:07,2,2,2,3,2,2
2015-03-21 23:51:08,2,2,2,8,2,2
2015-03-21 23:51:09,2,2,2,2,2,2
2015-03-21 23:51:10,2,2,2,2,2,2
2015-03-21 23:51:11,2,2,2,4,2,2
2015-03-21 23:51:12,2,2,2,3,2,2
2015-03-21 23:51:13,2,2,2,3,2,2
2015-03-21 23:51:14,2,2,2,4,2,2
2015-03-21 23:51:15,2,2,2,2,2,2
2015-03-21 23:51:16,2,2,2,2,2,2
2015-03-21 23:51:17,2,2,8,2,2,2
2015-03-21 23:51:18,2,2,8,2,2,2
2015-03-21 23:51:19,2,2,8,2,2,2
2015-03-21 23:51:20,2,2,8,2,2,2
2015-03-21 23:51:21,2,5,5,2,8,2
2015-03-21 23:51:22,2,5,5,2,8,2
2015-03-21 23:51:23,2,5,5,2,7,8
2015-03-21 23:51:24,2,5,5,2,7,8
2015-03-21 23:51:25,8,5,5,2,7,8
2015-03-21 23:51:26,8,7,5,2,7,8
2015-03-21 23:51:27,7,7,5,8,7,8
2015-03-21 23:51:28,7,7,5,4,7,7
2015-03-21 23:51:29,7,7,5,4,7,7
2015-03-21 23:51:30,7,7,5,6,7,7
2015-03-21 23:51:31,7,7,7,6,8,7
2015-03-21 23:51:32,7,7,7,6,7,7
2015-03-21 23:51:33,7,7,7,7,7,7
2015-03-21 23:51:34,7,7,7,7,7,7
2015-03-21 23:51:35,7,7,7,7,7,7
2015-03-21 23:51:36,7,7,7,7,7,7
2015-03-21 23:51:37,7,7,7,7,7,7
2015-03-21 23:51:38,7,7,7,7,7,7
2015-03-21 23:51:39,7,7,7,7,7,7
2015-03-21 23:51:40,7,7,7,7,7,7
2015-03-21 23:51:41,7,7,7,7,7,7
2015-03-21 23:51:42,7,7,7,7,7,7
2015-03-21 23:51:43,7,7,7,7,7,7
2015-03-21 23:51:44,7,7,7,7,7,7
2015-03-21 23:51:45,7,7,7,7,7,7
2015-03-21 23:51:46,7,7,7,7,7,7
2015-03-21 23:51:47,7,8,7,7,7,7
2015-03-21 23:51:48,7,7,7,7,7,8
2015-03-21 23:51:49,7,8,7,7,7,8
2015-03-21 23:51:50,7,8,7,7,7,2
2015-03-21 23:51:51,7,7,7,7,7,2
2015-03-21 23:51:52,7,8,7,8,8,2
2015-03-21 23:51:53,8,8,7,8,3,2
2015-03-21 23:51:54,5,8,7,2,3,2
2015-03-21 23:51:55,8,8,7,2,3,2
2015-03-21 23:51:56,2,8,8,2,3,2
2015-03-21 23:51:57,2,8,7,3,3,2
2015-03-21 23:51:58,2,8,8,8,3,2
2015-03-21 23:51:59,2,8,8,3,3,2
2015-03-21 23:52:00,2,7,4,2,3,2
2015-03-21 23:52:01,2,7,4,2,2,2
2015-03-21 23:52:02,2,7,4,3,2,2
2015-03-21 23:52:03,2,8,4,3,2,2
2015-03-21 23:52:04,2,8,4,2,2,2
2015-03-21 23:52:05,2,8,8,2,2,2
2015-03-21 23:52:06,2,8,4,2,2,2
2015-03-21 23:52:07,2,8,8,2,3,2
2015-03-21 23:52:08,1,8,8,2,3,2
2015-03-21 23:52:09,2,8,8,2,3,2
2015-03-21 23:52:10,2,8,4,2,2,2
2015-03-21 23:52:11,2,8,4,2,3,2
2015-03-21 23:52:12,2,8,4,2,2,2
2015-03-21 23:52:13,2,8,4,2,2,2
2015-03-21 23:52:14,2,8,4,2,2,2
2015-03-21 23:52:15,2,8,4,2,2,2
2015-03-21 23:52:16,2,8,8,2,2,2
2015-03-21 23:52:17,3,8,4,2,2,2
2015-03-21 23:52:18,2,8,4,2,3,2
2015-03-21 23:52:19,1,8,8,2,3,2
2015-03-21 23:52:20,2,8,8,2,3,2
2015-03-21 23:52:21,2,8,4,2,3,2
2015-03-21 23:52:22,2,8,4,2,3,2
2015-03-21 23:52:23,2,8,8,2,3,2
