time,9A5116EA-2793-4C75-AC93-524C9EF550FD,24C41EC3-7ECC-40DA-B942-7ABE23017E74,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-05-08 16:10:36,8,2,6,3
2015-05-08 16:10:37,8,2,6,4
2015-05-08 16:10:38,8,2,6,3
2015-05-08 16:10:39,8,2,6,3
2015-05-08 16:10:40,8,2,6,3
2015-05-08 16:10:41,8,2,6,3
2015-05-08 16:10:42,8,1,6,1
2015-05-08 16:10:43,8,3,6,1
2015-05-08 16:10:44,8,3,6,1
2015-05-08 16:10:45,8,1,6,1
2015-05-08 16:10:46,8,1,7,3
2015-05-08 16:10:47,8,1,7,3
2015-05-08 16:10:48,8,1,7,4
2015-05-08 16:10:49,8,1,7,4
2015-05-08 16:10:50,8,1,7,4
2015-05-08 16:10:51,8,1,7,4
2015-05-08 16:10:52,8,1,7,4
2015-05-08 16:10:53,8,1,7,4
2015-05-08 16:10:54,8,1,7,4
2015-05-08 16:10:55,8,3,7,4
2015-05-08 16:10:56,8,2,7,4
2015-05-08 16:10:57,8,3,7,4
2015-05-08 16:10:58,8,3,7,4
2015-05-08 16:10:59,8,3,7,4
2015-05-08 16:11:00,8,3,7,7
2015-05-08 16:11:01,8,3,7,4
2015-05-08 16:11:02,8,2,7,4
2015-05-08 16:11:03,8,3,7,7
2015-05-08 16:11:04,8,2,6,7
2015-05-08 16:11:05,8,3,6,7
2015-05-08 16:11:06,8,3,6,7
2015-05-08 16:11:07,8,3,6,7
2015-05-08 16:11:08,8,3,6,3
2015-05-08 16:11:09,8,3,6,3
2015-05-08 16:11:10,8,2,6,1
2015-05-08 16:11:11,8,2,6,1
2015-05-08 16:11:12,8,2,7,1
2015-05-08 16:11:13,8,2,7,1
2015-05-08 16:11:14,8,2,7,1
2015-05-08 16:11:15,8,2,7,1
2015-05-08 16:11:16,8,2,7,1
2015-05-08 16:11:17,8,2,7,1
2015-05-08 16:11:18,8,2,4,1
2015-05-08 16:11:19,8,2,3,1
2015-05-08 16:11:20,8,2,8,1
2015-05-08 16:11:21,8,2,8,1
2015-05-08 16:11:22,8,2,8,1
2015-05-08 16:11:23,8,2,8,1
2015-05-08 16:11:24,8,1,8,1
2015-05-08 16:11:25,8,1,7,1
2015-05-08 16:11:26,8,5,7,1
2015-05-08 16:11:27,8,8,6,1
2015-05-08 16:11:28,8,8,6,1
2015-05-08 16:11:29,8,8,7,1
2015-05-08 16:11:30,1,8,7,1
2015-05-08 16:11:31,1,2,7,1
2015-05-08 16:11:32,1,2,7,1
2015-05-08 16:11:33,1,2,7,1
2015-05-08 16:11:34,1,2,7,1
2015-05-08 16:11:35,1,2,7,1
2015-05-08 16:11:36,1,2,7,1
2015-05-08 16:11:37,1,2,7,1
2015-05-08 16:11:38,1,2,7,1
2015-05-08 16:11:39,1,2,7,1
2015-05-08 16:11:40,1,2,7,1
2015-05-08 16:11:41,1,2,7,1
2015-05-08 16:11:42,1,2,7,1
2015-05-08 16:11:43,1,2,7,1
2015-05-08 16:11:44,1,2,7,1
2015-05-08 16:11:45,1,2,6,1
2015-05-08 16:11:46,1,2,6,1
2015-05-08 16:11:47,1,2,6,1
2015-05-08 16:11:48,1,2,6,1
2015-05-08 16:11:49,1,2,6,1
2015-05-08 16:11:50,1,2,6,1
2015-05-08 16:11:51,1,2,6,1
2015-05-08 16:11:52,1,2,6,1
2015-05-08 16:11:53,1,2,7,1
2015-05-08 16:11:54,1,2,7,1
2015-05-08 16:11:55,1,2,6,1
2015-05-08 16:11:56,1,2,6,1
2015-05-08 16:11:57,1,2,6,1
2015-05-08 16:11:58,1,2,6,1
2015-05-08 16:11:59,1,2,6,1
2015-05-08 16:12:00,1,2,7,1
2015-05-08 16:12:01,1,2,7,1
2015-05-08 16:12:02,1,2,7,1
2015-05-08 16:12:03,1,5,7,1
2015-05-08 16:12:04,1,5,7,3
2015-05-08 16:12:05,1,8,7,3
2015-05-08 16:12:06,1,8,7,3
2015-05-08 16:12:07,1,8,7,3
2015-05-08 16:12:08,1,3,7,3
2015-05-08 16:12:09,1,3,7,3
2015-05-08 16:12:10,1,3,7,8
2015-05-08 16:12:11,1,1,7,8
2015-05-08 16:12:12,3,1,7,8
2015-05-08 16:12:13,3,1,7,8
2015-05-08 16:12:14,4,1,7,8
2015-05-08 16:12:15,7,1,7,8
2015-05-08 16:12:16,7,1,7,8
2015-05-08 16:12:17,4,1,7,8
2015-05-08 16:12:18,4,1,7,8
2015-05-08 16:12:19,4,1,7,8
2015-05-08 16:12:20,3,3,7,8
2015-05-08 16:12:21,3,2,7,8
2015-05-08 16:12:22,3,2,7,8
2015-05-08 16:12:23,1,1,7,8
2015-05-08 16:12:24,1,1,7,8
2015-05-08 16:12:25,1,3,7,8
2015-05-08 16:12:26,1,3,7,8
2015-05-08 16:12:27,2,8,7,8
2015-05-08 16:12:28,2,4,7,8
2015-05-08 16:12:29,2,7,7,8
2015-05-08 16:12:30,1,7,6,8
2015-05-08 16:12:31,1,3,7,3
2015-05-08 16:12:32,1,3,7,7
2015-05-08 16:12:33,1,3,7,8
2015-05-08 16:12:34,1,3,7,8
2015-05-08 16:12:35,1,3,7,8
2015-05-08 16:12:36,2,3,7,8
2015-05-08 16:12:37,3,3,7,8
2015-05-08 16:12:38,3,4,7,8
2015-05-08 16:12:39,3,3,7,8
2015-05-08 16:12:40,4,3,7,4
2015-05-08 16:12:41,3,3,7,4
2015-05-08 16:12:42,3,3,7,4
2015-05-08 16:12:43,3,3,7,4
2015-05-08 16:12:44,3,3,7,4
2015-05-08 16:12:45,3,3,7,4
2015-05-08 16:12:46,3,3,7,4
2015-05-08 16:12:47,3,3,7,4
2015-05-08 16:12:48,3,3,7,4
2015-05-08 16:12:49,3,3,7,4
2015-05-08 16:12:50,3,3,7,4
2015-05-08 16:12:51,3,3,7,4
2015-05-08 16:12:52,3,3,7,6
2015-05-08 16:12:53,3,3,7,6
2015-05-08 16:12:54,3,3,7,3
2015-05-08 16:12:55,3,3,7,3
2015-05-08 16:12:56,3,3,7,3
2015-05-08 16:12:57,3,3,7,1
2015-05-08 16:12:58,3,3,7,1
2015-05-08 16:12:59,3,3,7,1
2015-05-08 16:13:00,3,3,7,1
2015-05-08 16:13:01,3,3,7,1
2015-05-08 16:13:02,3,3,7,1
2015-05-08 16:13:03,1,3,7,1
2015-05-08 16:13:04,1,3,7,1
2015-05-08 16:13:05,1,3,7,1
2015-05-08 16:13:06,1,3,7,1
2015-05-08 16:13:07,1,3,7,3
2015-05-08 16:13:08,1,3,7,3
2015-05-08 16:13:09,1,3,7,3
2015-05-08 16:13:10,1,3,7,3
2015-05-08 16:13:11,1,3,7,3
2015-05-08 16:13:12,1,3,7,3
2015-05-08 16:13:13,1,3,7,3
2015-05-08 16:13:14,1,3,7,3
2015-05-08 16:13:15,1,3,7,3
2015-05-08 16:13:16,1,3,7,3
2015-05-08 16:13:17,1,3,7,3
2015-05-08 16:13:18,1,3,7,1
2015-05-08 16:13:19,1,3,7,1
2015-05-08 16:13:20,3,3,6,1
2015-05-08 16:13:21,3,3,6,1
2015-05-08 16:13:22,3,3,6,1
2015-05-08 16:13:23,3,3,6,1
2015-05-08 16:13:24,1,3,6,1
2015-05-08 16:13:25,1,3,7,1
2015-05-08 16:13:26,1,3,7,8
2015-05-08 16:13:27,3,3,7,8
2015-05-08 16:13:28,3,3,7,3
2015-05-08 16:13:29,3,4,7,4
2015-05-08 16:13:30,3,3,7,4
2015-05-08 16:13:31,3,3,7,0
2015-05-08 16:13:32,3,2,7,0
2015-05-08 16:13:33,3,2,7,0
2015-05-08 16:13:34,3,2,7,0
2015-05-08 16:13:35,3,2,7,0
2015-05-08 16:13:36,3,2,7,0
2015-05-08 16:13:37,3,2,7,0
2015-05-08 16:13:38,3,2,7,0
2015-05-08 16:13:39,3,2,7,0
2015-05-08 16:13:40,3,3,7,0
2015-05-08 16:13:41,1,3,7,0
2015-05-08 16:13:42,1,3,7,0
2015-05-08 16:13:43,1,3,7,0
2015-05-08 16:13:44,1,3,7,0
2015-05-08 16:13:45,1,3,7,0
2015-05-08 16:13:46,1,3,7,0
2015-05-08 16:13:47,1,3,7,0
2015-05-08 16:13:48,1,3,7,2
