time,charles,christina,jonathan
2014-08-11 20:02:33,0,0,0
2014-08-11 20:02:34,2,0,0
2014-08-11 20:02:35,2,2,0
2014-08-11 20:02:36,2,2,2
2014-08-11 20:02:37,2,2,2
2014-08-11 20:02:38,2,2,2
2014-08-11 20:02:39,0,2,2
2014-08-11 20:02:40,2,0,2
2014-08-11 20:02:41,2,2,2
2014-08-11 20:02:42,2,2,2
2014-08-11 20:02:43,2,2,2
2014-08-11 20:02:44,2,2,2
2014-08-11 20:02:45,0,2,2
2014-08-11 20:02:46,0,0,2
2014-08-11 20:02:47,2,2,2
2014-08-11 20:02:48,2,2,2
2014-08-11 20:02:49,2,2,2
2014-08-11 20:02:50,2,2,2
2014-08-11 20:02:51,2,2,2
2014-08-11 20:02:52,2,2,2
2014-08-11 20:02:53,2,2,2
2014-08-11 20:02:54,2,2,2
2014-08-11 20:02:55,2,2,2
2014-08-11 20:02:56,2,2,2
2014-08-11 20:02:57,2,2,2
2014-08-11 20:02:58,2,2,2
2014-08-11 20:02:59,2,2,2
2014-08-11 20:03:00,2,2,2
2014-08-11 20:03:01,2,2,2
2014-08-11 20:03:02,2,2,2
2014-08-11 20:03:03,2,2,2
2014-08-11 20:03:04,2,2,2
2014-08-11 20:03:05,2,2,2
2014-08-11 20:03:06,2,2,2
2014-08-11 20:03:07,2,2,2
2014-08-11 20:03:08,2,2,2
2014-08-11 20:03:09,0,2,2
2014-08-11 20:03:10,2,2,2
2014-08-11 20:03:11,2,2,2
2014-08-11 20:03:12,2,2,2
2014-08-11 20:03:13,2,2,2
2014-08-11 20:03:14,2,8,2
2014-08-11 20:03:15,2,8,2
2014-08-11 20:03:16,2,3,2
2014-08-11 20:03:17,2,3,2
2014-08-11 20:03:18,2,3,2
2014-08-11 20:03:19,2,3,4
2014-08-11 20:03:20,2,3,4
2014-08-11 20:03:21,2,8,4
2014-08-11 20:03:22,2,2,4
2014-08-11 20:03:23,2,2,4
2014-08-11 20:03:24,2,2,2
2014-08-11 20:03:25,2,2,2
2014-08-11 20:03:26,2,2,2
2014-08-11 20:03:27,2,8,2
2014-08-11 20:03:28,2,8,2
2014-08-11 20:03:29,2,5,2
2014-08-11 20:03:30,2,7,2
2014-08-11 20:03:31,2,7,2
2014-08-11 20:03:32,2,7,2
2014-08-11 20:03:33,2,7,2
2014-08-11 20:03:34,2,7,2
2014-08-11 20:03:35,5,7,3
2014-08-11 20:03:36,5,6,3
2014-08-11 20:03:37,5,6,3
2014-08-11 20:03:38,5,6,2
2014-08-11 20:03:39,5,6,2
2014-08-11 20:03:40,5,6,0
2014-08-11 20:03:41,5,6,0
2014-08-11 20:03:42,5,6,0
2014-08-11 20:03:43,7,6,0
2014-08-11 20:03:44,7,7,2
2014-08-11 20:03:45,7,7,2
2014-08-11 20:03:46,7,4,2
2014-08-11 20:03:47,7,2,8
2014-08-11 20:03:48,6,6,8
2014-08-11 20:03:49,6,7,8
2014-08-11 20:03:50,6,7,8
