time,9A5116EA-2793-4C75-AC93-524C9EF550FD,24C41EC3-7ECC-40DA-B942-7ABE23017E74,1A56F5DD-C5B6-4E56-8690-E5A12BAA7E78,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-06-22 15:20:57,0,0,0,0
2015-06-22 15:20:58,3,2,0,0
2015-06-22 15:20:59,3,4,0,0
2015-06-22 15:21:00,3,3,2,0
2015-06-22 15:21:01,3,3,2,0
2015-06-22 15:21:02,3,3,2,2
2015-06-22 15:21:03,6,3,2,7
2015-06-22 15:21:04,7,2,2,8
2015-06-22 15:21:05,7,2,2,8
2015-06-22 15:21:06,7,2,2,8
2015-06-22 15:21:07,6,2,2,8
2015-06-22 15:21:08,6,2,2,8
2015-06-22 15:21:09,3,2,3,8
2015-06-22 15:21:10,3,2,4,7
2015-06-22 15:21:11,3,2,4,4
2015-06-22 15:21:12,3,3,4,2
2015-06-22 15:21:13,3,8,6,4
2015-06-22 15:21:14,1,8,4,4
2015-06-22 15:21:15,1,7,4,4
2015-06-22 15:21:16,2,7,4,4
2015-06-22 15:21:17,2,8,4,4
2015-06-22 15:21:18,2,3,4,4
2015-06-22 15:21:19,2,2,3,8
2015-06-22 15:21:20,2,2,3,8
2015-06-22 15:21:21,2,2,3,7
2015-06-22 15:21:22,2,2,3,7
2015-06-22 15:21:23,2,2,3,7
2015-06-22 15:21:24,2,0,3,7
2015-06-22 15:21:25,2,2,3,7
2015-06-22 15:21:26,2,2,3,6
2015-06-22 15:21:27,2,2,3,6
2015-06-22 15:21:28,2,3,3,7
2015-06-22 15:21:29,2,3,3,4
2015-06-22 15:21:30,1,3,3,3
2015-06-22 15:21:31,3,3,4,3
2015-06-22 15:21:32,3,3,4,2
2015-06-22 15:21:33,3,3,4,2
2015-06-22 15:21:34,8,3,7,2
2015-06-22 15:21:35,5,4,7,2
2015-06-22 15:21:36,5,4,7,2
2015-06-22 15:21:37,6,8,7,2
2015-06-22 15:21:38,6,8,7,2
2015-06-22 15:21:39,7,8,7,3
2015-06-22 15:21:40,7,8,7,2
2015-06-22 15:21:41,7,7,7,3
2015-06-22 15:21:42,7,4,7,2
2015-06-22 15:21:43,7,4,7,2
2015-06-22 15:21:44,5,4,7,2
2015-06-22 15:21:45,5,4,7,2
2015-06-22 15:21:46,5,2,7,1
2015-06-22 15:21:47,2,2,7,1
2015-06-22 15:21:48,2,2,4,2
2015-06-22 15:21:49,2,2,4,2
2015-06-22 15:21:50,2,2,4,2
2015-06-22 15:21:51,2,2,3,2
2015-06-22 15:21:52,2,2,3,7
2015-06-22 15:21:53,2,2,1,4
2015-06-22 15:21:54,2,2,1,4
2015-06-22 15:21:55,2,2,1,4
2015-06-22 15:21:56,2,2,1,4
2015-06-22 15:21:57,2,2,3,4
2015-06-22 15:21:58,2,2,3,4
2015-06-22 15:21:59,2,2,2,4
2015-06-22 15:22:00,2,1,2,4
2015-06-22 15:22:01,3,2,2,4
2015-06-22 15:22:02,3,2,2,4
2015-06-22 15:22:03,4,2,2,3
2015-06-22 15:22:04,4,2,2,3
2015-06-22 15:22:05,4,2,2,3
2015-06-22 15:22:06,4,2,1,3
