time,charles,yvonne,christina,jonathan
2014-08-24 15:58:38,0,1,0,2
2014-08-24 15:58:39,0,2,0,4
2014-08-24 15:58:40,0,2,0,4
2014-08-24 15:58:41,0,2,0,4
2014-08-24 15:58:42,0,2,0,4
2014-08-24 15:58:43,0,0,0,4
2014-08-24 15:58:44,0,0,0,4
2014-08-24 15:58:45,0,0,0,4
2014-08-24 15:58:46,0,0,0,3
2014-08-24 15:58:47,0,0,0,3
2014-08-24 15:58:48,0,0,0,3
2014-08-24 15:58:49,0,0,0,2
2014-08-24 15:58:50,0,0,0,2
2014-08-24 15:58:51,0,0,0,0
2014-08-24 15:58:52,0,0,0,0
2014-08-24 15:58:53,0,0,0,0
2014-08-24 15:58:54,0,0,0,0
2014-08-24 15:58:55,0,0,0,0
2014-08-24 15:58:56,0,0,0,0
2014-08-24 15:58:57,0,0,0,0
2014-08-24 15:58:58,0,0,0,0
2014-08-24 15:58:59,0,0,0,0
2014-08-24 15:59:00,0,0,0,0
2014-08-24 15:59:01,0,0,0,0
2014-08-24 15:59:02,0,0,0,0
2014-08-24 15:59:03,0,0,0,0
2014-08-24 15:59:04,0,0,0,0
2014-08-24 15:59:05,0,0,0,0
2014-08-24 15:59:06,0,0,0,0
2014-08-24 15:59:07,0,0,0,0
2014-08-24 15:59:08,0,0,0,0
2014-08-24 15:59:09,0,0,0,0
2014-08-24 15:59:10,0,0,0,0
2014-08-24 15:59:11,0,0,0,0
2014-08-24 15:59:12,0,0,0,0
2014-08-24 15:59:13,0,0,0,0
2014-08-24 15:59:14,0,0,0,0
2014-08-24 15:59:15,0,0,0,0
2014-08-24 15:59:16,0,0,0,0
2014-08-24 15:59:17,0,0,0,0
2014-08-24 15:59:18,0,0,0,0
2014-08-24 15:59:19,0,0,0,0
2014-08-24 15:59:20,0,0,0,0
2014-08-24 15:59:21,0,0,0,0
2014-08-24 15:59:22,0,0,0,0
2014-08-24 15:59:23,0,0,0,0
2014-08-24 15:59:24,0,0,0,0
2014-08-24 15:59:25,0,0,0,0
2014-08-24 15:59:26,0,0,0,0
2014-08-24 15:59:27,0,0,0,0
2014-08-24 15:59:28,0,0,0,0
2014-08-24 15:59:29,0,0,0,0
2014-08-24 15:59:30,0,0,0,0
2014-08-24 15:59:31,0,0,0,0
2014-08-24 15:59:32,0,0,0,0
2014-08-24 15:59:33,0,0,0,0
2014-08-24 15:59:34,0,0,0,0
2014-08-24 15:59:35,0,0,0,0
2014-08-24 15:59:36,0,0,0,0
2014-08-24 15:59:37,0,0,0,2
2014-08-24 15:59:38,0,0,0,1
2014-08-24 15:59:39,0,0,0,2
2014-08-24 15:59:40,0,0,0,1
2014-08-24 15:59:41,0,0,0,1
2014-08-24 15:59:42,0,0,0,1
2014-08-24 15:59:43,0,0,0,3
2014-08-24 15:59:44,0,0,0,3
2014-08-24 15:59:45,0,0,0,3
2014-08-24 15:59:46,0,0,0,3
2014-08-24 15:59:47,0,0,0,3
2014-08-24 15:59:48,0,0,0,3
2014-08-24 15:59:49,0,2,0,3
2014-08-24 15:59:50,0,2,0,3
2014-08-24 15:59:51,0,2,0,3
2014-08-24 15:59:52,0,2,0,4
2014-08-24 15:59:53,0,2,0,4
2014-08-24 15:59:54,0,2,0,4
2014-08-24 15:59:55,0,2,0,4
2014-08-24 15:59:56,0,0,0,4
2014-08-24 15:59:57,0,0,0,4
2014-08-24 15:59:58,0,0,0,2
2014-08-24 15:59:59,0,0,0,4
2014-08-24 16:00:00,0,0,0,4
2014-08-24 16:00:01,0,2,0,4
2014-08-24 16:00:02,0,2,0,4
2014-08-24 16:00:03,0,2,0,4
2014-08-24 16:00:04,0,3,0,6
2014-08-24 16:00:05,0,3,0,6
2014-08-24 16:00:06,0,2,0,6
2014-08-24 16:00:07,0,2,0,6
2014-08-24 16:00:08,0,2,0,6
2014-08-24 16:00:09,0,0,0,4
2014-08-24 16:00:10,0,2,0,4
2014-08-24 16:00:11,0,2,0,4
2014-08-24 16:00:12,0,2,0,4
2014-08-24 16:00:13,0,2,0,2
2014-08-24 16:00:14,0,2,0,0
2014-08-24 16:00:15,0,2,0,0
