time,BD49B35A-8999-4987-9759-8D3F28D1292B,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4
2015-06-03 13:15:18,0,0
2015-06-03 13:15:19,2,0
2015-06-03 13:15:20,5,0
2015-06-03 13:15:21,3,0
2015-06-03 13:15:22,3,0
2015-06-03 13:15:23,3,0
2015-06-03 13:15:24,3,0
2015-06-03 13:15:25,3,0
2015-06-03 13:15:26,3,0
2015-06-03 13:15:27,3,0
2015-06-03 13:15:28,3,0
2015-06-03 13:15:29,3,0
2015-06-03 13:15:30,1,0
2015-06-03 13:15:31,1,0
2015-06-03 13:15:32,1,0
2015-06-03 13:15:33,3,0
2015-06-03 13:15:34,3,0
2015-06-03 13:15:35,3,0
2015-06-03 13:15:36,2,0
2015-06-03 13:15:37,2,2
2015-06-03 13:15:38,2,2
2015-06-03 13:15:39,2,2
2015-06-03 13:15:40,2,2
2015-06-03 13:15:41,2,2
2015-06-03 13:15:42,2,2
2015-06-03 13:15:43,2,2
2015-06-03 13:15:44,2,2
2015-06-03 13:15:45,2,2
2015-06-03 13:15:46,2,2
2015-06-03 13:15:47,2,2
2015-06-03 13:15:48,2,2
2015-06-03 13:15:49,2,2
2015-06-03 13:15:50,2,3
2015-06-03 13:15:51,2,4
2015-06-03 13:15:52,2,4
2015-06-03 13:15:53,2,4
2015-06-03 13:15:54,2,4
2015-06-03 13:15:55,0,0
2015-06-03 13:15:56,0,0
2015-06-03 13:15:57,0,0
2015-06-03 13:15:58,0,0
2015-06-03 13:15:59,0,0
2015-06-03 13:16:00,0,0
2015-06-03 13:16:01,0,0
2015-06-03 13:16:02,0,0
2015-06-03 13:16:03,0,0
2015-06-03 13:16:04,0,0
2015-06-03 13:16:05,0,0
2015-06-03 13:16:06,0,0
2015-06-03 13:16:07,0,0
2015-06-03 13:16:08,0,0
2015-06-03 13:16:09,0,0
2015-06-03 13:16:10,0,0
2015-06-03 13:16:11,0,0
2015-06-03 13:16:12,0,0
2015-06-03 13:16:13,0,0
2015-06-03 13:16:14,0,0
2015-06-03 13:16:15,0,0
2015-06-03 13:16:16,0,0
2015-06-03 13:16:17,0,0
2015-06-03 13:16:18,0,0
2015-06-03 13:16:19,0,0
2015-06-03 13:16:20,0,0
2015-06-03 13:16:21,0,0
2015-06-03 13:16:22,0,0
2015-06-03 13:16:23,0,0
2015-06-03 13:16:24,0,0
2015-06-03 13:16:25,0,0
2015-06-03 13:16:26,0,0
2015-06-03 13:16:27,0,0
2015-06-03 13:16:28,0,0
2015-06-03 13:16:29,0,0
2015-06-03 13:16:30,0,0
2015-06-03 13:16:31,0,0
2015-06-03 13:16:32,0,0
2015-06-03 13:16:33,0,0
2015-06-03 13:16:34,0,0
2015-06-03 13:16:35,0,0
2015-06-03 13:16:36,0,0
2015-06-03 13:16:37,0,0
2015-06-03 13:16:38,0,0
2015-06-03 13:16:39,0,0
2015-06-03 13:16:40,0,0
2015-06-03 13:16:41,0,0
2015-06-03 13:16:42,0,0
